sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Baloch,ethnicity_Hazara,ethnicity_Nuristani,ethnicity_Pashai,ethnicity_Pashtun,ethnicity_Tajik,ethnicity_Turkmen,ethnicity_Uzbek,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2,IF_3,IF_4,IF_5,IF_6,IF_7
5.194692,Tajik,richest,142826,1,kabul urban,0,0,0,0,0,1,0,0,0,0,0,0,1,5.0,25.97346,0.0,0.0,0.0,0.0,0.0011049152535909771,0.0,0.0,0.0
5.194692,Tajik,richest,106366,1,kabul urban,0,0,0,0,0,1,0,0,0,0,0,0,1,5.0,25.97346,0.0,0.0,0.0,0.0,0.0011049152535909771,0.0,0.0,0.0
5.194692,Tajik,richest,127012,1,kabul urban,0,0,0,0,0,1,0,0,0,0,0,0,1,5.0,25.97346,0.0,0.0,0.0,0.0,0.0011049152535909771,0.0,0.0,0.0
5.194692,Turkmen,richest,86623,1,kabul urban,0,0,0,0,0,0,1,0,0,0,0,0,1,5.0,25.97346,0.01640733139256131,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.194692,Tajik,richer,74502,1,kabul urban,0,0,0,0,0,1,0,0,0,0,0,1,0,4.0,20.778768,0.0,0.0,0.0,0.0,0.0005633455200404791,0.0,0.0,0.0
5.194692,Tajik,richest,112940,1,kabul urban,0,0,0,0,0,1,0,0,0,0,0,0,1,5.0,25.97346,0.0,0.0,0.0,0.0,0.0011049152535909771,0.0,0.0,0.0
5.194692,Tajik,richest,143062,1,kabul urban,0,0,0,0,0,1,0,0,0,0,0,0,1,5.0,25.97346,0.0,0.0,0.0,0.0,0.0011049152535909771,0.0,0.0,0.0
5.194692,Tajik,richest,110584,1,kabul urban,0,0,0,0,0,1,0,0,0,0,0,0,1,5.0,25.97346,0.0,0.0,0.0,0.0,0.0011049152535909771,0.0,0.0,0.0
5.194692,Tajik,richer,72477,1,kabul urban,0,0,0,0,0,1,0,0,0,0,0,1,0,4.0,20.778768,0.0,0.0,0.0,0.0,0.0005633455200404791,0.0,0.0,0.0
5.194692,Tajik,richer,74177,1,kabul urban,0,0,0,0,0,1,0,0,0,0,0,1,0,4.0,20.778768,0.0,0.0,0.0,0.0,0.0005633455200404791,0.0,0.0,0.0
5.194692,Tajik,richest,101876,1,kabul urban,0,0,0,0,0,1,0,0,0,0,0,0,1,5.0,25.97346,0.0,0.0,0.0,0.0,0.0011049152535909771,0.0,0.0,0.0
5.194692,Tajik,richest,130263,1,kabul urban,0,0,0,0,0,1,0,0,0,0,0,0,1,5.0,25.97346,0.0,0.0,0.0,0.0,0.0011049152535909771,0.0,0.0,0.0
5.194692,Tajik,richest,130263,1,kabul urban,0,0,0,0,0,1,0,0,0,0,0,0,1,5.0,25.97346,0.0,0.0,0.0,0.0,0.0011049152535909771,0.0,0.0,0.0
5.194692,Tajik,richest,102875,1,kabul urban,0,0,0,0,0,1,0,0,0,0,0,0,1,5.0,25.97346,0.0,0.0,0.0,0.0,0.0011049152535909771,0.0,0.0,0.0
5.194692,Tajik,richest,142652,1,kabul urban,0,0,0,0,0,1,0,0,0,0,0,0,1,5.0,25.97346,0.0,0.0,0.0,0.0,0.0011049152535909771,0.0,0.0,0.0
