sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Albanian,ethnicity_Egyptian,ethnicity_Roma,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2
0.557349,Egyptian,poorer,11624,1,berat (urban),0,1,0,0,1,0,0,0,2.0,1.114698,-0.0,-0.001616471355341517,-0.0
0.557349,Albanian,middle,47841,1,berat (urban),1,0,0,0,0,1,0,0,3.0,1.672047,0.0,0.0,-1.3958585296042776e-06
0.557349,Albanian,richer,78985,1,berat (urban),1,0,0,0,0,0,1,0,4.0,2.229396,0.0,0.0,3.692774879004056e-05
0.557349,Albanian,richer,90661,1,berat (urban),1,0,0,0,0,0,1,0,4.0,2.229396,0.0,0.0,3.692774879004056e-05
0.557349,Albanian,middle,27844,1,berat (urban),1,0,0,0,0,1,0,0,3.0,1.672047,0.0,0.0,-1.3958585296042776e-06
0.557349,Albanian,richest,110681,1,berat (urban),1,0,0,0,0,0,0,1,5.0,2.786745,0.0,0.0,7.52513561096854e-05
0.557349,Albanian,richest,158447,1,berat (urban),1,0,0,0,0,0,0,1,5.0,2.786745,0.0,0.0,7.52513561096854e-05
0.557349,Albanian,richest,158447,1,berat (urban),1,0,0,0,0,0,0,1,5.0,2.786745,0.0,0.0,7.52513561096854e-05
0.557349,Albanian,richest,158447,1,berat (urban),1,0,0,0,0,0,0,1,5.0,2.786745,0.0,0.0,7.52513561096854e-05
0.557349,Albanian,richer,95420,1,berat (urban),1,0,0,0,0,0,1,0,4.0,2.229396,0.0,0.0,3.692774879004056e-05
0.557349,Albanian,richer,94149,1,berat (urban),1,0,0,0,0,0,1,0,4.0,2.229396,0.0,0.0,3.692774879004056e-05
0.557349,Albanian,poorer,11796,1,berat (urban),1,0,0,0,1,0,0,0,2.0,1.114698,-0.0,-0.0,-3.971946584924911e-05
0.557349,Albanian,richer,89045,1,berat (urban),1,0,0,0,0,0,1,0,4.0,2.229396,0.0,0.0,3.692774879004056e-05
0.557349,Albanian,richer,107334,1,berat (urban),1,0,0,0,0,0,1,0,4.0,2.229396,0.0,0.0,3.692774879004056e-05
0.557349,Albanian,richer,107334,1,berat (urban),1,0,0,0,0,0,1,0,4.0,2.229396,0.0,0.0,3.692774879004056e-05
0.557349,Albanian,richest,145084,1,berat (urban),1,0,0,0,0,0,0,1,5.0,2.786745,0.0,0.0,7.52513561096854e-05
0.557349,Albanian,richest,145084,1,berat (urban),1,0,0,0,0,0,0,1,5.0,2.786745,0.0,0.0,7.52513561096854e-05
0.557349,Albanian,richer,98894,1,berat (urban),1,0,0,0,0,0,1,0,4.0,2.229396,0.0,0.0,3.692774879004056e-05
0.557349,Albanian,richer,96047,1,berat (urban),1,0,0,0,0,0,1,0,4.0,2.229396,0.0,0.0,3.692774879004056e-05
