sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Adja And Related,ethnicity_Bariba And Related..,ethnicity_Betamaribe And Related,ethnicity_Dendi And Related..,ethnicity_Fon And Related..,ethnicity_Peulh And Related,"ethnicity_Yoa, Lokpa And Related.",ethnicity_Yoruba And Related..,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2,IF_3,IF_4,IF_5,IF_6,IF_7
1.134416,Bariba And Related..,middle,-34116,1,alibori rural,0,1,0,0,0,0,0,0,0,0,1,0,0,3.0,3.4032480000000005,0.0,0.0,0.0001180826422376557,-0.0,-0.0,-0.0,-0.0,-0.0
1.134416,Bariba And Related..,middle,-34116,1,alibori rural,0,1,0,0,0,0,0,0,0,0,1,0,0,3.0,3.4032480000000005,0.0,0.0,0.0001180826422376557,-0.0,-0.0,-0.0,-0.0,-0.0
1.134416,Bariba And Related..,middle,-51108,1,alibori rural,0,1,0,0,0,0,0,0,0,0,1,0,0,3.0,3.4032480000000005,0.0,0.0,0.0001180826422376557,-0.0,-0.0,-0.0,-0.0,-0.0
1.134416,Bariba And Related..,middle,-51108,1,alibori rural,0,1,0,0,0,0,0,0,0,0,1,0,0,3.0,3.4032480000000005,0.0,0.0,0.0001180826422376557,-0.0,-0.0,-0.0,-0.0,-0.0
1.134416,Bariba And Related..,middle,-51108,1,alibori rural,0,1,0,0,0,0,0,0,0,0,1,0,0,3.0,3.4032480000000005,0.0,0.0,0.0001180826422376557,-0.0,-0.0,-0.0,-0.0,-0.0
1.134416,Bariba And Related..,middle,-51108,1,alibori rural,0,1,0,0,0,0,0,0,0,0,1,0,0,3.0,3.4032480000000005,0.0,0.0,0.0001180826422376557,-0.0,-0.0,-0.0,-0.0,-0.0
1.134416,Bariba And Related..,middle,-51108,1,alibori rural,0,1,0,0,0,0,0,0,0,0,1,0,0,3.0,3.4032480000000005,0.0,0.0,0.0001180826422376557,-0.0,-0.0,-0.0,-0.0,-0.0
1.134416,Bariba And Related..,richer,-8492,1,alibori rural,0,1,0,0,0,0,0,0,0,0,0,1,0,4.0,4.537664,0.0,0.0,0.0007380661367543772,0.0,0.0,0.0,0.0,0.0
1.134416,Peulh And Related,richer,-8492,1,alibori rural,0,0,0,0,0,1,0,0,0,0,0,1,0,4.0,4.537664,0.0021420444899509835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.134416,Peulh And Related,richer,-8492,1,alibori rural,0,0,0,0,0,1,0,0,0,0,0,1,0,4.0,4.537664,0.0021420444899509835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.134416,Bariba And Related..,richer,-8492,1,alibori rural,0,1,0,0,0,0,0,0,0,0,0,1,0,4.0,4.537664,0.0,0.0,0.0007380661367543772,0.0,0.0,0.0,0.0,0.0
1.134416,Peulh And Related,richer,-8492,1,alibori rural,0,0,0,0,0,1,0,0,0,0,0,1,0,4.0,4.537664,0.0021420444899509835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.134416,Peulh And Related,richer,-8492,1,alibori rural,0,0,0,0,0,1,0,0,0,0,0,1,0,4.0,4.537664,0.0021420444899509835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.134416,Bariba And Related..,poorer,-78127,1,alibori rural,0,1,0,0,0,0,0,0,0,1,0,0,0,2.0,2.268832,0.0,-0.0,-0.0005019008522790658,-0.0,-0.0,-0.0,-0.0,-0.0
1.134416,Bariba And Related..,poorer,-78127,1,alibori rural,0,1,0,0,0,0,0,0,0,1,0,0,0,2.0,2.268832,0.0,-0.0,-0.0005019008522790658,-0.0,-0.0,-0.0,-0.0,-0.0
1.134416,Bariba And Related..,middle,-43869,1,alibori rural,0,1,0,0,0,0,0,0,0,0,1,0,0,3.0,3.4032480000000005,0.0,0.0,0.0001180826422376557,-0.0,-0.0,-0.0,-0.0,-0.0
1.134416,Bariba And Related..,middle,-43869,1,alibori rural,0,1,0,0,0,0,0,0,0,0,1,0,0,3.0,3.4032480000000005,0.0,0.0,0.0001180826422376557,-0.0,-0.0,-0.0,-0.0,-0.0
1.134416,Bariba And Related..,poorer,-71684,1,alibori rural,0,1,0,0,0,0,0,0,0,1,0,0,0,2.0,2.268832,0.0,-0.0,-0.0005019008522790658,-0.0,-0.0,-0.0,-0.0,-0.0
1.134416,Bariba And Related..,poorer,-71684,1,alibori rural,0,1,0,0,0,0,0,0,0,1,0,0,0,2.0,2.268832,0.0,-0.0,-0.0005019008522790658,-0.0,-0.0,-0.0,-0.0,-0.0
1.134416,Bariba And Related..,poorer,-59017,1,alibori rural,0,1,0,0,0,0,0,0,0,1,0,0,0,2.0,2.268832,0.0,-0.0,-0.0005019008522790658,-0.0,-0.0,-0.0,-0.0,-0.0
1.134416,Bariba And Related..,poorer,-59017,1,alibori rural,0,1,0,0,0,0,0,0,0,1,0,0,0,2.0,2.268832,0.0,-0.0,-0.0005019008522790658,-0.0,-0.0,-0.0,-0.0,-0.0
1.134416,Bariba And Related..,poorer,-59017,1,alibori rural,0,1,0,0,0,0,0,0,0,1,0,0,0,2.0,2.268832,0.0,-0.0,-0.0005019008522790658,-0.0,-0.0,-0.0,-0.0,-0.0
