sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Abbey,ethnicity_Abron,ethnicity_Adjoukrou,ethnicity_Agni,ethnicity_Akye Ou Attie,ethnicity_Baoulé,ethnicity_Bété,ethnicity_Dioula,ethnicity_Djimini,ethnicity_Gouro,ethnicity_Guere,ethnicity_Koulango,ethnicity_Koyaka Ou Koyara,ethnicity_Lobi,ethnicity_Mahouka Ou Mahou,ethnicity_Malinke Ou Maninka,ethnicity_Not-Ivorian,ethnicity_Senoufo,ethnicity_Tagbana,ethnicity_Wobe,ethnicity_Yacouba Ou Dan,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2,IF_3,IF_4,IF_5,IF_6,IF_7,IF_8,IF_9,IF_10,IF_11,IF_12,IF_13,IF_14,IF_15,IF_16,IF_17,IF_18,IF_19,IF_20
2.661436,Senoufo,richer,96473,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4.0,10.645744,0.0,0.0,0.0,0.0,0.0,0.001460615953389443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2.661436,Gouro,middle,-12434,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0,7.984308,0.0,0.0,0.0,0.00036368386825600985,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2.661436,Malinke Ou Maninka,richer,55358,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.0,10.645744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007765813107927322,0.0,0.0,0.0,-0.0
2.661436,Baoulé,richest,152115,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.0,13.30718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018407236286244926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.661436,Not-Ivorian,richer,88622,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4.0,10.645744,0.0,0.0,0.0010357089374086104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2.661436,Senoufo,richer,114305,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4.0,10.645744,0.0,0.0,0.0,0.0,0.0,0.001460615953389443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
2.661436,Dioula,richest,142763,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.0,13.30718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009206120881949626,0.0,0.0,0.0,0.0,0.0,0.0
2.661436,Not-Ivorian,richest,134017,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5.0,13.30718,0.0,0.0,0.0018323483897183075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.661436,Not-Ivorian,richest,134017,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5.0,13.30718,0.0,0.0,0.0018323483897183075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.661436,Not-Ivorian,richest,119624,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5.0,13.30718,0.0,0.0,0.0018323483897183075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
