sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Afar,ethnicity_Amhara,ethnicity_Anyiwak,ethnicity_Berta,ethnicity_Gamo,ethnicity_Gedeo,ethnicity_Gumuz,ethnicity_Guragie,ethnicity_Hadiya,ethnicity_Kefficho,ethnicity_Kembata,ethnicity_Nuwer,ethnicity_Oromo,ethnicity_Sidama,ethnicity_Silte,ethnicity_Somalie,ethnicity_Tigrie,ethnicity_Welaita,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2,IF_3,IF_4,IF_5,IF_6,IF_7,IF_8,IF_9,IF_10,IF_11,IF_12,IF_13,IF_14,IF_15,IF_16,IF_17
5.087433,Oromo,poorer,-51074,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0,10.174866,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0010728552814073325,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5.087433,Oromo,poorer,-51074,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0,10.174866,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0010728552814073325,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5.087433,Oromo,poorer,-50742,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0,10.174866,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0010728552814073325,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5.087433,Oromo,poorer,-50137,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0,10.174866,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0010728552814073325,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5.087433,Oromo,poorer,-50137,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0,10.174866,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0010728552814073325,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5.087433,Oromo,poorer,-53785,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0,10.174866,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0010728552814073325,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5.087433,Oromo,richest,-2828,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5.0,25.437165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017855117929863342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.087433,Oromo,poorer,-57173,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0,10.174866,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0010728552814073325,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5.087433,Oromo,poorest,-64141,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,5.087433,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0020256443062052214,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5.087433,Oromo,middle,-37343,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3.0,15.262298999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00012006625660944356,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5.087433,Oromo,poorest,-61976,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,5.087433,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0020256443062052214,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5.087433,Oromo,middle,-33812,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3.0,15.262298999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00012006625660944356,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5.087433,Oromo,middle,-37879,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3.0,15.262298999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00012006625660944356,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5.087433,Oromo,richer,-31679,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.0,20.349732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008327227681884453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
5.087433,Oromo,richer,-27687,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.0,20.349732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008327227681884453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
5.087433,Oromo,poorer,-57344,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0,10.174866,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0010728552814073325,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5.087433,Oromo,poorer,-57344,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0,10.174866,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0010728552814073325,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5.087433,Oromo,poorer,-48067,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0,10.174866,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0010728552814073325,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5.087433,Oromo,poorer,-48596,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0,10.174866,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0010728552814073325,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5.087433,Oromo,middle,-37901,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3.0,15.262298999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00012006625660944356,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5.087433,Oromo,middle,-37901,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3.0,15.262298999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00012006625660944356,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5.087433,Oromo,middle,-37901,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3.0,15.262298999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00012006625660944356,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
