sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Fang,ethnicity_Kota-Kele,ethnicity_Mbede-Teke,ethnicity_Myene,ethnicity_Nzabi-Duma,ethnicity_Okande-Tsogho,ethnicity_Shira-Punu/Vili,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2,IF_3,IF_4,IF_5,IF_6
0.591106,Okande-Tsogho,poorest,-24216,1,ngounié - urban,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.591106,-0.0,-0.0043629728705416315,-0.0,-0.0,-0.0,-0.0,-0.0
0.591106,Okande-Tsogho,poorest,-24216,1,ngounié - urban,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.591106,-0.0,-0.0043629728705416315,-0.0,-0.0,-0.0,-0.0,-0.0
0.591106,Okande-Tsogho,poorest,-24216,1,ngounié - urban,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.591106,-0.0,-0.0043629728705416315,-0.0,-0.0,-0.0,-0.0,-0.0
0.591106,Okande-Tsogho,poorest,-24216,1,ngounié - urban,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.591106,-0.0,-0.0043629728705416315,-0.0,-0.0,-0.0,-0.0,-0.0
0.591106,Shira-Punu/Vili,poorest,-20024,1,ngounié - urban,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0.591106,-0.0,-0.0,-0.0,-0.0,-0.0005414606899262928,-0.0,-0.0
0.591106,Nzabi-Duma,poorest,-57625,1,ngounié - urban,0,0,0,0,1,0,0,1,0,0,0,0,1.0,0.591106,-0.0,-0.0,-0.0008275345709026076,-0.0,-0.0,-0.0,-0.0
0.591106,Nzabi-Duma,poorest,-57625,1,ngounié - urban,0,0,0,0,1,0,0,1,0,0,0,0,1.0,0.591106,-0.0,-0.0,-0.0008275345709026076,-0.0,-0.0,-0.0,-0.0
0.591106,Okande-Tsogho,poorest,-57625,1,ngounié - urban,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.591106,-0.0,-0.0043629728705416315,-0.0,-0.0,-0.0,-0.0,-0.0
0.591106,Nzabi-Duma,richer,127533,1,ngounié - urban,0,0,0,0,1,0,0,0,0,0,1,0,4.0,2.364424,0.0,0.0,0.0005311561458284629,0.0,0.0,0.0,0.0
0.591106,Okande-Tsogho,richer,127827,1,ngounié - urban,0,0,0,0,0,1,0,0,0,0,1,0,4.0,2.364424,0.0,0.0038155094008213548,0.0,0.0,0.0,0.0,0.0
0.591106,Okande-Tsogho,richer,127827,1,ngounié - urban,0,0,0,0,0,1,0,0,0,0,1,0,4.0,2.364424,0.0,0.0038155094008213548,0.0,0.0,0.0,0.0,0.0
0.591106,Okande-Tsogho,poorest,-6727,1,ngounié - urban,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.591106,-0.0,-0.0043629728705416315,-0.0,-0.0,-0.0,-0.0,-0.0
0.591106,Shira-Punu/Vili,poorest,-31533,1,ngounié - urban,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0.591106,-0.0,-0.0,-0.0,-0.0,-0.0005414606899262928,-0.0,-0.0
0.591106,Shira-Punu/Vili,poorest,-14539,1,ngounié - urban,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0.591106,-0.0,-0.0,-0.0,-0.0,-0.0005414606899262928,-0.0,-0.0
0.591106,Shira-Punu/Vili,poorest,-14539,1,ngounié - urban,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0.591106,-0.0,-0.0,-0.0,-0.0,-0.0005414606899262928,-0.0,-0.0
0.591106,Shira-Punu/Vili,poorest,-14539,1,ngounié - urban,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0.591106,-0.0,-0.0,-0.0,-0.0,-0.0005414606899262928,-0.0,-0.0
0.591106,Shira-Punu/Vili,richer,136651,1,ngounié - urban,0,0,0,0,0,0,1,0,0,0,1,0,4.0,2.364424,0.0,0.0,0.0,0.0,0.00022424577014766857,0.0,0.0
0.591106,Shira-Punu/Vili,poorest,-34729,1,ngounié - urban,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0.591106,-0.0,-0.0,-0.0,-0.0,-0.0005414606899262928,-0.0,-0.0
0.591106,Shira-Punu/Vili,middle,55742,1,ngounié - urban,0,0,0,0,0,0,1,0,0,1,0,0,3.0,1.7733180000000002,0.0,0.0,0.0,-0.0,-3.0989716543651844e-05,-0.0,-0.0
0.591106,Shira-Punu/Vili,poorest,-43551,1,ngounié - urban,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0.591106,-0.0,-0.0,-0.0,-0.0,-0.0005414606899262928,-0.0,-0.0
0.591106,Shira-Punu/Vili,poorest,-43551,1,ngounié - urban,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0.591106,-0.0,-0.0,-0.0,-0.0,-0.0005414606899262928,-0.0,-0.0
0.591106,Shira-Punu/Vili,middle,49996,1,ngounié - urban,0,0,0,0,0,0,1,0,0,1,0,0,3.0,1.7733180000000002,0.0,0.0,0.0,-0.0,-3.0989716543651844e-05,-0.0,-0.0
0.591106,Shira-Punu/Vili,middle,49996,1,ngounié - urban,0,0,0,0,0,0,1,0,0,1,0,0,3.0,1.7733180000000002,0.0,0.0,0.0,-0.0,-3.0989716543651844e-05,-0.0,-0.0
0.591106,Nzabi-Duma,poorest,-33347,1,ngounié - urban,0,0,0,0,1,0,0,1,0,0,0,0,1.0,0.591106,-0.0,-0.0,-0.0008275345709026076,-0.0,-0.0,-0.0,-0.0
0.591106,Nzabi-Duma,poorest,-62539,1,ngounié - urban,0,0,0,0,1,0,0,1,0,0,0,0,1.0,0.591106,-0.0,-0.0,-0.0008275345709026076,-0.0,-0.0,-0.0,-0.0
0.591106,Okande-Tsogho,poorest,-110893,1,ngounié - urban,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0.591106,-0.0,-0.0043629728705416315,-0.0,-0.0,-0.0,-0.0,-0.0
0.591106,Kota-Kele,poorest,-110893,1,ngounié - urban,0,1,0,0,0,0,0,1,0,0,0,0,1.0,0.591106,-0.001489737068672168,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.591106,Nzabi-Duma,poorer,34484,1,ngounié - urban,0,0,0,0,1,0,0,0,1,0,0,0,2.0,1.182212,-0.0,-0.0,-0.0003746376653255841,-0.0,-0.0,-0.0,-0.0
0.591106,Shira-Punu/Vili,poorest,-43260,1,ngounié - urban,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0.591106,-0.0,-0.0,-0.0,-0.0,-0.0005414606899262928,-0.0,-0.0
0.591106,Shira-Punu/Vili,richer,122507,1,ngounié - urban,0,0,0,0,0,0,1,0,0,0,1,0,4.0,2.364424,0.0,0.0,0.0,0.0,0.00022424577014766857,0.0,0.0
0.118885,Shira-Punu/Vili,poorest,-22317,2,nyanga - urban,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0.118885,-0.0,-0.0,-0.0,-0.0,-0.00010890018731308311,-0.0,-0.0
0.118885,Shira-Punu/Vili,poorest,-22317,2,nyanga - urban,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0.118885,-0.0,-0.0,-0.0,-0.0,-0.00010890018731308311,-0.0,-0.0
0.118885,Shira-Punu/Vili,poorest,-22317,2,nyanga - urban,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0.118885,-0.0,-0.0,-0.0,-0.0,-0.00010890018731308311,-0.0,-0.0
0.118885,Shira-Punu/Vili,poorest,-22317,2,nyanga - urban,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0.118885,-0.0,-0.0,-0.0,-0.0,-0.00010890018731308311,-0.0,-0.0
0.118885,Shira-Punu/Vili,poorest,-78945,2,nyanga - urban,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0.118885,-0.0,-0.0,-0.0,-0.0,-0.00010890018731308311,-0.0,-0.0
0.118885,Shira-Punu/Vili,poorest,-25057,2,nyanga - urban,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0.118885,-0.0,-0.0,-0.0,-0.0,-0.00010890018731308311,-0.0,-0.0
0.118885,Shira-Punu/Vili,poorest,-25057,2,nyanga - urban,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0.118885,-0.0,-0.0,-0.0,-0.0,-0.00010890018731308311,-0.0,-0.0
0.118885,Shira-Punu/Vili,poorest,-78648,2,nyanga - urban,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0.118885,-0.0,-0.0,-0.0,-0.0,-0.00010890018731308311,-0.0,-0.0
0.118885,Shira-Punu/Vili,poorer,24068,2,nyanga - urban,0,0,0,0,0,0,1,0,1,0,0,0,2.0,0.23777,-0.0,-0.0,-0.0,-0.0,-5.756646572118991e-05,-0.0,-0.0
0.118885,Shira-Punu/Vili,poorest,-76293,2,nyanga - urban,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0.118885,-0.0,-0.0,-0.0,-0.0,-0.00010890018731308311,-0.0,-0.0
0.118885,Shira-Punu/Vili,poorest,-76293,2,nyanga - urban,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0.118885,-0.0,-0.0,-0.0,-0.0,-0.00010890018731308311,-0.0,-0.0
0.118885,Shira-Punu/Vili,poorer,29499,2,nyanga - urban,0,0,0,0,0,0,1,0,1,0,0,0,2.0,0.23777,-0.0,-0.0,-0.0,-0.0,-5.756646572118991e-05,-0.0,-0.0
