sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Bambara,ethnicity_Fula/Tukulur/Lorobo,ethnicity_Jola/Karoninka,ethnicity_Mandinka/Jahanka,ethnicity_Manjago,ethnicity_Non-Gambian,ethnicity_Sarahule,ethnicity_Serere,ethnicity_Wollof,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2,IF_3,IF_4,IF_5,IF_6,IF_7,IF_8
0.171997,Bambara,middle,64319,1,banjul - urban,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0,0.5159910000000001,0.0,0.0001413996182532956,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.171997,Bambara,middle,64319,1,banjul - urban,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0,0.5159910000000001,0.0,0.0001413996182532956,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.171997,Non-Gambian,poorer,-41586,1,banjul - urban,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2.0,0.343994,-0.0,-0.0,-0.00013341699483302244,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.171997,Non-Gambian,middle,28675,1,banjul - urban,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3.0,0.5159910000000001,0.0,0.0,9.7911913101531e-06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.171997,Jola/Karoninka,richer,123974,1,banjul - urban,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4.0,0.687988,0.0,0.0,0.0,0.0,8.200703937973628e-05,0.0,0.0,0.0,0.0
0.171997,Serere,richest,204602,1,banjul - urban,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5.0,0.859985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005753627457525679,0.0
0.171997,Wollof,richest,142864,1,banjul - urban,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5.0,0.859985,0.0,0.0,0.0,0.00022597679588757765,0.0,0.0,0.0,0.0,0.0
0.171997,Non-Gambian,richest,142864,1,banjul - urban,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5.0,0.859985,0.0,0.0,0.00029620756359650415,0.0,0.0,0.0,0.0,0.0,0.0
0.171997,Fula/Tukulur/Lorobo,richest,212529,1,banjul - urban,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,0.859985,0.00019137598405450789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.171997,Serere,poorer,-33096,1,banjul - urban,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.0,0.343994,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.000638694269410977,-0.0
