sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Akan,ethnicity_Ewe,ethnicity_Ga/Dangme,ethnicity_Grusi,ethnicity_Guan,ethnicity_Gurma,ethnicity_Mande,ethnicity_Mole-Dagbani,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2,IF_3,IF_4,IF_5,IF_6,IF_7
0.961031,Akan,middle,39297,1,"western, rural",1,0,0,0,0,0,0,0,0,0,1,0,0,3.0,2.8830929999999997,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-7.740142082864485e-05
0.961031,Akan,poorer,-45950,1,"western, rural",1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1.922062,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00021633661475449915
0.961031,Akan,richer,67954,1,"western, rural",1,0,0,0,0,0,0,0,0,0,0,1,0,4.0,3.844124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.153377309720944e-05
0.961031,Akan,poorest,-112392,1,"western, rural",1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.961031,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00035527180868035347
0.961031,Akan,poorer,-59636,1,"western, rural",1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1.922062,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00021633661475449915
0.961031,Akan,richest,112210,1,"western, rural",1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,4.805155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020046896702306374
0.961031,Akan,poorest,-123855,1,"western, rural",1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.961031,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00035527180868035347
0.961031,Akan,poorer,-68096,1,"western, rural",1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1.922062,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00021633661475449915
0.961031,Akan,richer,86527,1,"western, rural",1,0,0,0,0,0,0,0,0,0,0,1,0,4.0,3.844124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.153377309720944e-05
0.961031,Akan,richest,109645,1,"western, rural",1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,4.805155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020046896702306374
0.961031,Akan,middle,9033,1,"western, rural",1,0,0,0,0,0,0,0,0,0,1,0,0,3.0,2.8830929999999997,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-7.740142082864485e-05
