sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Ladina/Mestiza,ethnicity_Maya,ethnicity_Xinca,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2
1.039388,Ladina/Mestiza,richer,84665,1,1,1,0,0,0,0,0,1,0,4.0,4.157552,0.0,0.0,2.669577924837223e-05
1.039388,Ladina/Mestiza,richer,84665,1,1,1,0,0,0,0,0,1,0,4.0,4.157552,0.0,0.0,2.669577924837223e-05
1.039388,Ladina/Mestiza,richest,187960,1,1,1,0,0,0,0,0,0,1,5.0,5.19694,0.0,0.0,9.357644350564607e-05
1.039388,Ladina/Mestiza,richest,94718,1,1,1,0,0,0,0,0,0,1,5.0,5.19694,0.0,0.0,9.357644350564607e-05
1.039388,Ladina/Mestiza,richer,51073,1,1,1,0,0,0,0,0,1,0,4.0,4.157552,0.0,0.0,2.669577924837223e-05
1.039388,Ladina/Mestiza,richest,202278,1,1,1,0,0,0,0,0,0,1,5.0,5.19694,0.0,0.0,9.357644350564607e-05
1.039388,Ladina/Mestiza,richest,181351,1,1,1,0,0,0,0,0,0,1,5.0,5.19694,0.0,0.0,9.357644350564607e-05
1.039388,Ladina/Mestiza,richest,160341,1,1,1,0,0,0,0,0,0,1,5.0,5.19694,0.0,0.0,9.357644350564607e-05
1.039388,Ladina/Mestiza,richest,197455,1,1,1,0,0,0,0,0,0,1,5.0,5.19694,0.0,0.0,9.357644350564607e-05
1.039388,Ladina/Mestiza,richest,189244,1,1,1,0,0,0,0,0,0,1,5.0,5.19694,0.0,0.0,9.357644350564607e-05
1.039388,Ladina/Mestiza,richest,238337,1,1,1,0,0,0,0,0,0,1,5.0,5.19694,0.0,0.0,9.357644350564607e-05
1.039388,Ladina/Mestiza,richest,213506,1,1,1,0,0,0,0,0,0,1,5.0,5.19694,0.0,0.0,9.357644350564607e-05
1.039388,Ladina/Mestiza,richest,141680,1,1,1,0,0,0,0,0,0,1,5.0,5.19694,0.0,0.0,9.357644350564607e-05
1.039388,Ladina/Mestiza,richest,141680,1,1,1,0,0,0,0,0,0,1,5.0,5.19694,0.0,0.0,9.357644350564607e-05
1.039388,Ladina/Mestiza,richest,217857,1,1,1,0,0,0,0,0,0,1,5.0,5.19694,0.0,0.0,9.357644350564607e-05
1.039388,Ladina/Mestiza,richest,217857,1,1,1,0,0,0,0,0,0,1,5.0,5.19694,0.0,0.0,9.357644350564607e-05
1.037117,Ladina/Mestiza,richer,60033,2,1,1,0,0,0,0,0,1,0,4.0,4.148468,0.0,0.0,2.6637450583164387e-05
1.037117,Ladina/Mestiza,richer,60033,2,1,1,0,0,0,0,0,1,0,4.0,4.148468,0.0,0.0,2.6637450583164387e-05
1.037117,Maya,richest,128400,2,1,0,1,0,0,0,0,0,1,5.0,5.1855850000000006,0.0,0.0002638193221554189,0.0
1.037117,Ladina/Mestiza,richest,128400,2,1,1,0,0,0,0,0,0,1,5.0,5.1855850000000006,0.0,0.0,9.337198462869028e-05
1.037117,Maya,richest,117524,2,1,0,1,0,0,0,0,0,1,5.0,5.1855850000000006,0.0,0.0002638193221554189,0.0
1.037117,Ladina/Mestiza,richest,117524,2,1,1,0,0,0,0,0,0,1,5.0,5.1855850000000006,0.0,0.0,9.337198462869028e-05
1.037117,Ladina/Mestiza,richest,108131,2,1,1,0,0,0,0,0,0,1,5.0,5.1855850000000006,0.0,0.0,9.337198462869028e-05
1.037117,Ladina/Mestiza,richest,108131,2,1,1,0,0,0,0,0,0,1,5.0,5.1855850000000006,0.0,0.0,9.337198462869028e-05
1.037117,Ladina/Mestiza,richest,147953,2,1,1,0,0,0,0,0,0,1,5.0,5.1855850000000006,0.0,0.0,9.337198462869028e-05
1.037117,Ladina/Mestiza,richest,147953,2,1,1,0,0,0,0,0,0,1,5.0,5.1855850000000006,0.0,0.0,9.337198462869028e-05
1.037117,Ladina/Mestiza,richest,147953,2,1,1,0,0,0,0,0,0,1,5.0,5.1855850000000006,0.0,0.0,9.337198462869028e-05
1.037117,Ladina/Mestiza,richest,91634,2,1,1,0,0,0,0,0,0,1,5.0,5.1855850000000006,0.0,0.0,9.337198462869028e-05
1.037117,Ladina/Mestiza,middle,-1884,2,1,1,0,0,0,0,1,0,0,3.0,3.111351,0.0,0.0,-4.009708346236151e-05
1.037117,Maya,richest,204777,2,1,0,1,0,0,0,0,0,1,5.0,5.1855850000000006,0.0,0.0002638193221554189,0.0
1.037117,Maya,richest,204777,2,1,0,1,0,0,0,0,0,1,5.0,5.1855850000000006,0.0,0.0002638193221554189,0.0
1.037117,Ladina/Mestiza,middle,-25958,2,1,1,0,0,0,0,1,0,0,3.0,3.111351,0.0,0.0,-4.009708346236151e-05
1.037117,Maya,richer,21578,2,1,0,1,0,0,0,0,1,0,4.0,4.148468,0.0,0.0001617788706496648,0.0
1.037117,Ladina/Mestiza,richer,21578,2,1,1,0,0,0,0,0,1,0,4.0,4.148468,0.0,0.0,2.6637450583164387e-05
1.037117,Ladina/Mestiza,middle,-34500,2,1,1,0,0,0,0,1,0,0,3.0,3.111351,0.0,0.0,-4.009708346236151e-05
1.037117,Ladina/Mestiza,richer,85072,2,1,1,0,0,0,0,0,1,0,4.0,4.148468,0.0,0.0,2.6637450583164387e-05
1.037117,Maya,richest,97219,2,1,0,1,0,0,0,0,0,1,5.0,5.1855850000000006,0.0,0.0002638193221554189,0.0
1.037117,Maya,richest,155779,2,1,0,1,0,0,0,0,0,1,5.0,5.1855850000000006,0.0,0.0002638193221554189,0.0
1.037117,Ladina/Mestiza,richest,155779,2,1,1,0,0,0,0,0,0,1,5.0,5.1855850000000006,0.0,0.0,9.337198462869028e-05
1.037117,Ladina/Mestiza,richest,149750,2,1,1,0,0,0,0,0,0,1,5.0,5.1855850000000006,0.0,0.0,9.337198462869028e-05
1.037117,Ladina/Mestiza,richer,82214,2,1,1,0,0,0,0,0,1,0,4.0,4.148468,0.0,0.0,2.6637450583164387e-05
1.037117,Ladina/Mestiza,richer,82214,2,1,1,0,0,0,0,0,1,0,4.0,4.148468,0.0,0.0,2.6637450583164387e-05
1.037117,Ladina/Mestiza,richer,82214,2,1,1,0,0,0,0,0,1,0,4.0,4.148468,0.0,0.0,2.6637450583164387e-05
1.037117,Ladina/Mestiza,richest,184922,2,1,1,0,0,0,0,0,0,1,5.0,5.1855850000000006,0.0,0.0,9.337198462869028e-05
1.037117,Ladina/Mestiza,richest,184922,2,1,1,0,0,0,0,0,0,1,5.0,5.1855850000000006,0.0,0.0,9.337198462869028e-05
