sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Fulani,ethnicity_Guerze,ethnicity_Kissi,ethnicity_Malinké,ethnicity_Soussou,ethnicity_Toma,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2,IF_3,IF_4,IF_5
1.189678,Soussou,middle,-40547,1,boké rural,0,0,0,0,1,0,0,0,1,0,0,3.0,3.5690340000000003,0.0,0.0,0.0,-0.0,-0.0,-0.0006818257823315868
1.189678,Soussou,middle,-40547,1,boké rural,0,0,0,0,1,0,0,0,1,0,0,3.0,3.5690340000000003,0.0,0.0,0.0,-0.0,-0.0,-0.0006818257823315868
1.189678,Soussou,middle,-40547,1,boké rural,0,0,0,0,1,0,0,0,1,0,0,3.0,3.5690340000000003,0.0,0.0,0.0,-0.0,-0.0,-0.0006818257823315868
1.189678,Fulani,poorest,-100525,1,boké rural,1,0,0,0,0,0,1,0,0,0,0,1.0,1.189678,-0.0,-0.0,-0.0,-0.0012412992949745049,-0.0,-0.0
1.189678,Fulani,poorest,-100525,1,boké rural,1,0,0,0,0,0,1,0,0,0,0,1.0,1.189678,-0.0,-0.0,-0.0,-0.0012412992949745049,-0.0,-0.0
1.189678,Fulani,poorest,-100525,1,boké rural,1,0,0,0,0,0,1,0,0,0,0,1.0,1.189678,-0.0,-0.0,-0.0,-0.0012412992949745049,-0.0,-0.0
1.189678,Malinké,poorest,-100525,1,boké rural,0,0,0,1,0,0,1,0,0,0,0,1.0,1.189678,-0.0,-0.0,-0.0,-0.0,-0.001465457017334537,-0.0
1.189678,Fulani,poorest,-95059,1,boké rural,1,0,0,0,0,0,1,0,0,0,0,1.0,1.189678,-0.0,-0.0,-0.0,-0.0012412992949745049,-0.0,-0.0
1.189678,Fulani,poorer,-79356,1,boké rural,1,0,0,0,0,0,0,1,0,0,0,2.0,2.379356,0.0,-0.0,-0.0,-0.0006415563815927281,-0.0,-0.0
1.189678,Fulani,richer,34280,1,boké rural,1,0,0,0,0,0,0,0,0,1,0,4.0,4.758712,0.0,0.0,0.0,0.0005579294451708257,0.0,0.0
1.189678,Fulani,poorest,-97644,1,boké rural,1,0,0,0,0,0,1,0,0,0,0,1.0,1.189678,-0.0,-0.0,-0.0,-0.0012412992949745049,-0.0,-0.0
1.189678,Fulani,poorest,-97644,1,boké rural,1,0,0,0,0,0,1,0,0,0,0,1.0,1.189678,-0.0,-0.0,-0.0,-0.0012412992949745049,-0.0,-0.0
1.189678,Fulani,poorest,-92119,1,boké rural,1,0,0,0,0,0,1,0,0,0,0,1.0,1.189678,-0.0,-0.0,-0.0,-0.0012412992949745049,-0.0,-0.0
1.189678,Fulani,poorest,-92119,1,boké rural,1,0,0,0,0,0,1,0,0,0,0,1.0,1.189678,-0.0,-0.0,-0.0,-0.0012412992949745049,-0.0,-0.0
1.189678,Fulani,poorer,-86122,1,boké rural,1,0,0,0,0,0,0,1,0,0,0,2.0,2.379356,0.0,-0.0,-0.0,-0.0006415563815927281,-0.0,-0.0
