sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Amerindian,ethnicity_Black,ethnicity_East Indian,ethnicity_Mixed Race,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2,IF_3
0.680331,Amerindian,poorest,-1.912956119011816,1.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.680331,-0.0005197103411052891,-0.0,-0.0,-0.0
0.680331,Amerindian,poorest,-2.5038810018545017,1.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.680331,-0.0005197103411052891,-0.0,-0.0,-0.0
0.680331,Amerindian,poorest,-1.6396264197044785,1.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.680331,-0.0005197103411052891,-0.0,-0.0,-0.0
0.680331,Amerindian,poorest,-2.0031196661439834,1.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.680331,-0.0005197103411052891,-0.0,-0.0,-0.0
0.680331,Amerindian,poorest,-1.4237677886390434,1.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.680331,-0.0005197103411052891,-0.0,-0.0,-0.0
0.180549,Mixed Race,poorest,-2.1651927694865023,1.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.180549,-0.0,-0.0003429001617882828,-0.0,-0.0
0.180549,Mixed Race,poorest,-2.1651927694865023,1.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.180549,-0.0,-0.0003429001617882828,-0.0,-0.0
0.180549,Amerindian,poorest,-2.6024406979504526,1.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.180549,-0.00013792283811294624,-0.0,-0.0,-0.0
0.180549,Mixed Race,poorest,-1.5691676659288052,1.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.180549,-0.0,-0.0003429001617882828,-0.0,-0.0
0.180549,Mixed Race,poorest,-1.768730049032627,1.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.180549,-0.0,-0.0003429001617882828,-0.0,-0.0
0.180549,Amerindian,poorest,-1.7688214761318597,1.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.180549,-0.00013792283811294624,-0.0,-0.0,-0.0
0.180549,Amerindian,poorest,-1.7688214761318597,1.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.180549,-0.00013792283811294624,-0.0,-0.0,-0.0
0.180549,Amerindian,poorest,-1.7343555921029363,1.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.180549,-0.00013792283811294624,-0.0,-0.0,-0.0
0.180549,Amerindian,poorest,-2.6747576191253497,1.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.180549,-0.00013792283811294624,-0.0,-0.0,-0.0
0.180549,Amerindian,poorest,-2.6747576191253497,1.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.180549,-0.00013792283811294624,-0.0,-0.0,-0.0
0.129342,Mixed Race,poorest,-0.8715874390467473,2.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.129342,-0.0,-0.00024564740168054146,-0.0,-0.0
0.129342,Amerindian,poorest,-0.9919693289059754,2.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.129342,-9.880539757741497e-05,-0.0,-0.0,-0.0
0.129342,Mixed Race,poorest,-0.9643560757846925,2.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.129342,-0.0,-0.00024564740168054146,-0.0,-0.0
0.129342,Mixed Race,poorest,-1.5693002481571088,2.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.129342,-0.0,-0.00024564740168054146,-0.0,-0.0
0.129342,Mixed Race,poorest,-0.36330586240188545,2.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.129342,-0.0,-0.00024564740168054146,-0.0,-0.0
0.129342,Amerindian,poorest,-0.5291596347074918,2.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.129342,-9.880539757741497e-05,-0.0,-0.0,-0.0
0.126207,Mixed Race,poorest,-0.3521563020380679,2.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.126207,-0.0,-0.00023969338361782015,-0.0,-0.0
0.126207,Mixed Race,richest,1.4238998432355705,2.0,1.0,0,0,0,1,0,0,0,0,1,5.0,0.631035,0.0,0.00022201298960518648,0.0,0.0
0.069322,Mixed Race,poorer,-0.12217363054943342,3.0,1.0,0,0,0,1,0,1,0,0,0,2.0,0.138644,0.0,-6.825629670314016e-05,-0.0,-0.0
0.069322,East Indian,poorest,-0.8211176795680225,3.0,1.0,0,0,1,0,1,0,0,0,0,1.0,0.069322,-0.0,-0.0,-5.9835982575548044e-05,-0.0
0.069322,Mixed Race,richest,0.9973870583313242,3.0,1.0,0,0,0,1,0,0,0,0,1,5.0,0.34661,0.0,0.0001219455693060665,0.0,0.0
0.069322,Mixed Race,richest,0.9973870583313242,3.0,1.0,0,0,0,1,0,0,0,0,1,5.0,0.34661,0.0,0.0001219455693060665,0.0,0.0
0.132108,Amerindian,poorer,0.31650974571880197,3.0,1.0,1,0,0,0,0,1,0,0,0,2.0,0.264216,0.00020683943276382998,-0.0,-0.0,-0.0
0.132108,Amerindian,poorest,-0.7795511576858832,3.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.132108,-0.00010091836729876711,-0.0,-0.0,-0.0
0.132108,Mixed Race,poorer,-0.06753498800974311,3.0,1.0,0,0,0,1,0,1,0,0,0,2.0,0.264216,0.0,-0.0001300770728608298,-0.0,-0.0
0.132108,Amerindian,richest,1.1510663567765576,3.0,1.0,1,0,0,0,0,0,0,0,1,5.0,0.66054,0.0011301128329516213,0.0,0.0,0.0
0.132108,Amerindian,richest,1.1510663567765576,3.0,1.0,1,0,0,0,0,0,0,0,1,5.0,0.66054,0.0011301128329516213,0.0,0.0,0.0
0.132108,Amerindian,richest,1.1510663567765576,3.0,1.0,1,0,0,0,0,0,0,0,1,5.0,0.66054,0.0011301128329516213,0.0,0.0,0.0
0.132108,Mixed Race,richer,0.7142364596443342,3.0,1.0,0,0,0,1,0,0,0,1,0,4.0,0.528432,0.0,0.00011157000516869694,0.0,0.0
0.132108,Amerindian,poorest,-0.3578701478184475,3.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.132108,-0.00010091836729876711,-0.0,-0.0,-0.0
0.132108,Amerindian,poorest,-0.3578701478184475,3.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.132108,-0.00010091836729876711,-0.0,-0.0,-0.0
0.132108,Amerindian,poorer,0.1096151097159388,3.0,1.0,1,0,0,0,0,1,0,0,0,2.0,0.264216,0.00020683943276382998,-0.0,-0.0,-0.0
0.132108,Mixed Race,richer,0.8094142139612082,3.0,1.0,0,0,0,1,0,0,0,1,0,4.0,0.528432,0.0,0.00011157000516869694,0.0,0.0
0.132108,Amerindian,middle,0.5134628750640167,3.0,1.0,1,0,0,0,0,0,1,0,0,3.0,0.396324,0.000514597232826427,-0.0,-0.0,-0.0
0.132108,Amerindian,poorest,-1.0831776169542806,3.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.132108,-0.00010091836729876711,-0.0,-0.0,-0.0
0.121163,Amerindian,poorest,-1.7751504783177803,4.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.121163,-9.2557393473677e-05,-0.0,-0.0,-0.0
0.121163,Mixed Race,richer,0.7453383239006108,4.0,1.0,0,0,0,1,0,0,0,1,0,4.0,0.484652,0.0,0.00010232655506293963,0.0,0.0
0.121163,Mixed Race,richer,0.7453383239006108,4.0,1.0,0,0,0,1,0,0,0,1,0,4.0,0.484652,0.0,0.00010232655506293963,0.0,0.0
0.121163,Amerindian,poorest,-0.9757319886472204,4.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.121163,-9.2557393473677e-05,-0.0,-0.0,-0.0
0.121163,Amerindian,poorest,-0.7747047014055167,4.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.121163,-9.2557393473677e-05,-0.0,-0.0,-0.0
0.121163,Amerindian,poorest,-0.7747047014055167,4.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.121163,-9.2557393473677e-05,-0.0,-0.0,-0.0
0.121163,Black,poorest,-1.0690636466650665,4.0,1.0,0,1,0,0,1,0,0,0,0,1.0,0.121163,-0.0,-0.0,-0.0,-0.0001630399509636081
0.121163,Mixed Race,poorest,-1.4999658805118121,4.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.121163,-0.0,-0.00023011377688468898,-0.0,-0.0
0.179147,Mixed Race,richest,1.0859998212850355,4.0,1.0,0,0,0,1,0,0,0,0,1,5.0,0.895735,0.0,0.0003151406898888361,0.0,0.0
0.179147,Mixed Race,richest,1.0859998212850355,4.0,1.0,0,0,0,1,0,0,0,0,1,5.0,0.895735,0.0,0.0003151406898888361,0.0,0.0
0.179147,Mixed Race,poorest,-0.6063489267784818,4.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.179147,-0.0,-0.00034023747173280106,-0.0,-0.0
0.179147,Mixed Race,poorest,-1.175077042738411,4.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.179147,-0.0,-0.00034023747173280106,-0.0,-0.0
0.179147,Amerindian,poorer,0.18508375014406186,4.0,1.0,1,0,0,0,0,1,0,0,0,2.0,0.358294,0.0002804876605606159,-0.0,-0.0,-0.0
0.179147,Amerindian,poorer,0.18508375014406186,4.0,1.0,1,0,0,0,0,1,0,0,0,2.0,0.358294,0.0002804876605606159,-0.0,-0.0,-0.0
0.179147,Mixed Race,poorest,-1.8738547576718867,4.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.179147,-0.0,-0.00034023747173280106,-0.0,-0.0
0.179147,Mixed Race,poorest,-1.0179481259366598,4.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.179147,-0.0,-0.00034023747173280106,-0.0,-0.0
0.179147,Mixed Race,poorest,-0.43016969839245844,4.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.179147,-0.0,-0.00034023747173280106,-0.0,-0.0
0.212323,Amerindian,poorer,-0.0961500078680857,5.0,1.0,1,0,0,0,0,1,0,0,0,2.0,0.424646,0.00033243080572497257,-0.0,-0.0,-0.0
0.212323,Amerindian,poorer,-0.0961500078680857,5.0,1.0,1,0,0,0,0,1,0,0,0,2.0,0.424646,0.00033243080572497257,-0.0,-0.0,-0.0
0.212323,Amerindian,poorer,-0.0961500078680857,5.0,1.0,1,0,0,0,0,1,0,0,0,2.0,0.424646,0.00033243080572497257,-0.0,-0.0,-0.0
0.212323,Amerindian,poorest,-0.8013567007966604,5.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.212323,-0.00016219525312604938,-0.0,-0.0,-0.0
0.212323,Amerindian,poorest,-0.8013567007966604,5.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.212323,-0.00016219525312604938,-0.0,-0.0,-0.0
0.212323,Mixed Race,poorest,-0.2636669326776595,5.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.212323,-0.0,-0.00040324560674040606,-0.0,-0.0
0.212323,Mixed Race,poorest,-0.2636669326776595,5.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.212323,-0.0,-0.00040324560674040606,-0.0,-0.0
0.212323,Mixed Race,poorest,-0.6224776277621444,5.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.212323,-0.0,-0.00040324560674040606,-0.0,-0.0
0.212323,Mixed Race,poorest,-0.6224776277621444,5.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.212323,-0.0,-0.00040324560674040606,-0.0,-0.0
0.212323,Mixed Race,poorer,-0.1678597457627421,5.0,1.0,0,0,0,1,0,1,0,0,0,2.0,0.424646,0.0,-0.00020905890893079874,-0.0,-0.0
0.212323,Amerindian,poorest,-0.43217182045313773,5.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.212323,-0.00016219525312604938,-0.0,-0.0,-0.0
0.212323,Amerindian,poorest,-0.43217182045313773,5.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.212323,-0.00016219525312604938,-0.0,-0.0,-0.0
0.212323,Mixed Race,poorest,-0.760943034567485,5.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.212323,-0.0,-0.00040324560674040606,-0.0,-0.0
0.212323,Mixed Race,poorest,-0.760943034567485,5.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.212323,-0.0,-0.00040324560674040606,-0.0,-0.0
0.126446,Amerindian,middle,0.3924279897598515,5.0,1.0,1,0,0,0,0,0,1,0,0,3.0,0.379338,0.0004925421753563024,-0.0,-0.0,-0.0
0.126446,Amerindian,poorest,-0.8624843198615634,5.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.126446,-9.65931198069754e-05,-0.0,-0.0,-0.0
0.126446,Mixed Race,poorest,-1.1051038480456261,5.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.126446,-0.0,-0.0002401472944047389,-0.0,-0.0
0.126446,Mixed Race,poorest,-1.1051038480456261,5.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.126446,-0.0,-0.0002401472944047389,-0.0,-0.0
0.126446,Amerindian,richer,0.7150111349382653,5.0,1.0,1,0,0,0,0,0,0,1,0,4.0,0.505784,0.0007871098229379413,0.0,0.0,0.0
0.126446,Mixed Race,poorest,-0.4756628515688278,5.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.126446,-0.0,-0.0002401472944047389,-0.0,-0.0
0.126446,Amerindian,poorest,-1.0392521769134953,5.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.126446,-9.65931198069754e-05,-0.0,-0.0,-0.0
0.126446,Mixed Race,poorer,0.035558412088078306,5.0,1.0,0,0,0,1,0,1,0,0,0,2.0,0.252892,0.0,-0.0001245021161092476,-0.0,-0.0
0.126446,Amerindian,poorest,-0.8498804431479281,5.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.126446,-9.65931198069754e-05,-0.0,-0.0,-0.0
0.126446,Amerindian,poorest,-0.8498804431479281,5.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.126446,-9.65931198069754e-05,-0.0,-0.0,-0.0
0.126446,Amerindian,poorest,-0.7407232664213101,5.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.126446,-9.65931198069754e-05,-0.0,-0.0,-0.0
0.126446,Amerindian,poorest,-0.7407232664213101,5.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.126446,-9.65931198069754e-05,-0.0,-0.0,-0.0
0.112596,Amerindian,poorest,-0.6604285146992295,6.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.112596,-8.601299303881658e-05,-0.0,-0.0,-0.0
0.112596,Amerindian,poorest,-0.6604285146992295,6.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.112596,-8.601299303881658e-05,-0.0,-0.0,-0.0
0.112596,Mixed Race,poorest,-0.5819680850029502,6.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.112596,-0.0,-0.00021384325926321104,-0.0,-0.0
0.112596,Mixed Race,poorest,-0.5819680850029502,6.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.112596,-0.0,-0.00021384325926321104,-0.0,-0.0
0.112596,Mixed Race,poorest,-0.5819680850029502,6.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.112596,-0.0,-0.00021384325926321104,-0.0,-0.0
0.112596,Amerindian,poorest,-0.7524953441182645,6.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.112596,-8.601299303881658e-05,-0.0,-0.0,-0.0
0.112596,Amerindian,poorest,-0.7524953441182645,6.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.112596,-8.601299303881658e-05,-0.0,-0.0,-0.0
0.112596,Amerindian,poorest,-0.7524953441182645,6.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.112596,-8.601299303881658e-05,-0.0,-0.0,-0.0
0.112596,Amerindian,poorest,-1.6914578943789644,6.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.112596,-8.601299303881658e-05,-0.0,-0.0,-0.0
0.112596,Amerindian,poorest,-1.6914578943789644,6.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.112596,-8.601299303881658e-05,-0.0,-0.0,-0.0
0.112596,Amerindian,poorest,-0.8601935988137082,6.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.112596,-8.601299303881658e-05,-0.0,-0.0,-0.0
0.112596,Mixed Race,poorest,-0.25765539986752506,6.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.112596,-0.0,-0.00021384325926321104,-0.0,-0.0
0.112596,Mixed Race,poorest,-0.25765539986752506,6.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.112596,-0.0,-0.00021384325926321104,-0.0,-0.0
0.112596,Mixed Race,poorest,-0.9579784780106384,6.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.112596,-0.0,-0.00021384325926321104,-0.0,-0.0
0.112596,Mixed Race,poorest,-0.9579784780106384,6.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.112596,-0.0,-0.00021384325926321104,-0.0,-0.0
0.249721,Amerindian,poorest,-1.2785270109280962,6.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.249721,-0.00019076388712428786,-0.0,-0.0,-0.0
0.249721,Amerindian,poorest,-1.2785270109280962,6.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.249721,-0.00019076388712428786,-0.0,-0.0,-0.0
0.249721,Amerindian,poorest,-0.6941110484057893,6.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.249721,-0.00019076388712428786,-0.0,-0.0,-0.0
0.249721,Amerindian,poorest,-0.6941110484057893,6.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.249721,-0.00019076388712428786,-0.0,-0.0,-0.0
0.249721,Mixed Race,poorest,-0.8105897524376392,6.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.249721,-0.0,-0.0004742721992474717,-0.0,-0.0
0.249721,Mixed Race,poorest,-0.8105897524376392,6.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.249721,-0.0,-0.0004742721992474717,-0.0,-0.0
0.249721,Mixed Race,middle,0.621944592342893,6.0,1.0,0,0,0,1,0,0,1,0,0,3.0,0.749163,0.0,-1.749176223675744e-05,-0.0,-0.0
0.249721,Mixed Race,poorer,0.19477460408916158,6.0,1.0,0,0,0,1,0,1,0,0,0,2.0,0.499442,0.0,-0.00024588198074211457,-0.0,-0.0
0.249721,Amerindian,poorest,-0.6077648814850526,6.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.249721,-0.00019076388712428786,-0.0,-0.0,-0.0
0.492893,Amerindian,poorest,-2.0915941517747374,7.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.492893,-0.00037652494029877996,-0.0,-0.0,-0.0
0.492893,Amerindian,poorest,-1.4281121541345698,7.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.492893,-0.00037652494029877996,-0.0,-0.0,-0.0
0.492893,Amerindian,poorest,-1.9038664072867033,7.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.492893,-0.00037652494029877996,-0.0,-0.0,-0.0
0.492893,Amerindian,poorest,-1.9038664072867033,7.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.492893,-0.00037652494029877996,-0.0,-0.0,-0.0
0.492893,Amerindian,poorest,-1.9038664072867033,7.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.492893,-0.00037652494029877996,-0.0,-0.0,-0.0
0.492893,Amerindian,poorest,-2.192033963237029,7.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.492893,-0.00037652494029877996,-0.0,-0.0,-0.0
0.492893,Amerindian,poorest,-1.6041154761304224,7.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.492893,-0.00037652494029877996,-0.0,-0.0,-0.0
0.492893,Mixed Race,poorest,-1.1477138900498625,7.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.492893,-0.0,-0.0009361064832500433,-0.0,-0.0
0.211781,Amerindian,poorest,-2.1885774530969755,7.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.211781,-0.00016178121495216187,-0.0,-0.0,-0.0
0.211781,Amerindian,poorest,-1.2154812015570957,7.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.211781,-0.00016178121495216187,-0.0,-0.0,-0.0
0.211781,Amerindian,poorest,-1.2154812015570957,7.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.211781,-0.00016178121495216187,-0.0,-0.0,-0.0
0.211781,Amerindian,poorest,-1.9125370846735614,7.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.211781,-0.00016178121495216187,-0.0,-0.0,-0.0
0.211781,Amerindian,poorest,-1.8722693181617343,7.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.211781,-0.00016178121495216187,-0.0,-0.0,-0.0
0.211781,East Indian,poorer,-0.20152966426681584,7.0,1.0,0,0,1,0,0,1,0,0,0,2.0,0.423562,0.0,-0.0,-0.00010046386638859607,-0.0
0.211781,East Indian,poorer,-0.20152966426681584,7.0,1.0,0,0,1,0,0,1,0,0,0,2.0,0.423562,0.0,-0.0,-0.00010046386638859607,-0.0
0.211781,East Indian,poorer,-0.20152966426681584,7.0,1.0,0,0,1,0,0,1,0,0,0,2.0,0.423562,0.0,-0.0,-0.00010046386638859607,-0.0
