sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Jordanian,ethnicity_Syrian,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1
2.328007,Jordanian,richest,123562,1,1,1,0,0,0,0,0,1,5.0,11.640035,0.0,0.0003511814725665878
2.328007,Jordanian,richest,110484,1,1,1,0,0,0,0,0,1,5.0,11.640035,0.0,0.0003511814725665878
2.328007,Jordanian,richer,65231,1,1,1,0,0,0,0,1,0,4.0,9.312028,0.0,0.0001687923419523447
2.328007,Jordanian,richest,108181,1,1,1,0,0,0,0,0,1,5.0,11.640035,0.0,0.0003511814725665878
2.328007,Jordanian,richer,58059,1,1,1,0,0,0,0,1,0,4.0,9.312028,0.0,0.0001687923419523447
2.328007,Jordanian,richest,97988,1,1,1,0,0,0,0,0,1,5.0,11.640035,0.0,0.0003511814725665878
2.328007,Jordanian,richest,101033,1,1,1,0,0,0,0,0,1,5.0,11.640035,0.0,0.0003511814725665878
2.328007,Jordanian,richest,106537,1,1,1,0,0,0,0,0,1,5.0,11.640035,0.0,0.0003511814725665878
2.328007,Jordanian,richest,136151,1,1,1,0,0,0,0,0,1,5.0,11.640035,0.0,0.0003511814725665878
6.218308,Jordanian,richest,180320,2,1,1,0,0,0,0,0,1,5.0,31.091540000000002,0.0,0.000938036079922695
6.218308,Jordanian,richest,180320,2,1,1,0,0,0,0,0,1,5.0,31.091540000000002,0.0,0.000938036079922695
6.218308,Jordanian,richer,78921,2,1,1,0,0,0,0,1,0,4.0,24.873232,0.0,0.000450858940845539
6.218308,Jordanian,richest,145382,2,1,1,0,0,0,0,0,1,5.0,31.091540000000002,0.0,0.000938036079922695
6.218308,Jordanian,richer,73683,2,1,1,0,0,0,0,1,0,4.0,24.873232,0.0,0.000450858940845539
6.218308,Syrian,middle,28106,2,1,0,1,0,0,1,0,0,3.0,18.654924,0.006675566220724916,-0.0
6.218308,Jordanian,poorer,8304,2,1,1,0,0,1,0,0,0,2.0,12.436616,0.0,-0.0005234953373087732
6.218308,Jordanian,richest,92356,2,1,1,0,0,0,0,0,1,5.0,31.091540000000002,0.0,0.000938036079922695
6.218308,Jordanian,richest,92356,2,1,1,0,0,0,0,0,1,5.0,31.091540000000002,0.0,0.000938036079922695
