sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Chewa,ethnicity_Lomwe,ethnicity_Ngoni,ethnicity_Tonga,ethnicity_Tumbuka,ethnicity_Yao,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2,IF_3,IF_4,IF_5
0.567581,Chewa,richest,12543,1,"north, rural",1,0,0,0,0,0,0,0,0,0,1,5.0,2.837905,0.0009240396084054771,0.0,0.0,0.0,0.0,0.0
0.419024,Tumbuka,poorest,-98910,2,"north, rural",0,0,0,0,1,0,1,0,0,0,0,1.0,0.419024,-0.0,-0.0,-0.0,-0.0,-0.0031661074641752152,-0.0
0.317592,Chewa,richer,-42224,3,"north, rural",1,0,0,0,0,0,0,0,0,1,0,4.0,1.270368,0.00029137149726767995,0.0,0.0,0.0,0.0,0.0
0.317592,Tumbuka,richest,22965,3,"north, rural",0,0,0,0,1,0,0,0,0,0,1,5.0,1.5879599999999998,0.0,0.0,0.0,0.0,0.0010765859409232496,0.0
0.317592,Tumbuka,richest,22965,3,"north, rural",0,0,0,0,1,0,0,0,0,0,1,5.0,1.5879599999999998,0.0,0.0,0.0,0.0,0.0010765859409232496,0.0
0.438895,Tumbuka,poorest,-108857,4,"north, rural",0,0,0,0,1,0,1,0,0,0,0,1.0,0.438895,-0.0,-0.0,-0.0,-0.0,-0.003316250943834198,-0.0
0.438895,Tumbuka,richest,16751,4,"north, rural",0,0,0,0,1,0,0,0,0,0,1,5.0,2.1944749999999997,0.0,0.0,0.0,0.0,0.001487783654945684,0.0
0.438895,Tumbuka,middle,-74991,4,"north, rural",0,0,0,0,1,0,0,0,1,0,0,3.0,1.3166849999999999,0.0,0.0,-0.0,-0.0,-0.000914233644444257,-0.0
0.438895,Tumbuka,middle,-58088,4,"north, rural",0,0,0,0,1,0,0,0,1,0,0,3.0,1.3166849999999999,0.0,0.0,-0.0,-0.0,-0.000914233644444257,-0.0
0.438895,Tumbuka,richer,-53387,4,"north, rural",0,0,0,0,1,0,0,0,0,1,0,4.0,1.75558,0.0,0.0,0.0,0.0,0.0002867750052507134,0.0
0.438895,Tumbuka,richer,-53387,4,"north, rural",0,0,0,0,1,0,0,0,0,1,0,4.0,1.75558,0.0,0.0,0.0,0.0,0.0002867750052507134,0.0
0.438895,Tumbuka,richest,91470,4,"north, rural",0,0,0,0,1,0,0,0,0,0,1,5.0,2.1944749999999997,0.0,0.0,0.0,0.0,0.001487783654945684,0.0
0.438895,Tumbuka,richest,91470,4,"north, rural",0,0,0,0,1,0,0,0,0,0,1,5.0,2.1944749999999997,0.0,0.0,0.0,0.0,0.001487783654945684,0.0
0.438895,Tumbuka,richest,91470,4,"north, rural",0,0,0,0,1,0,0,0,0,0,1,5.0,2.1944749999999997,0.0,0.0,0.0,0.0,0.001487783654945684,0.0
0.438895,Tumbuka,richest,91470,4,"north, rural",0,0,0,0,1,0,0,0,0,0,1,5.0,2.1944749999999997,0.0,0.0,0.0,0.0,0.001487783654945684,0.0
0.438895,Tumbuka,richer,-11513,4,"north, rural",0,0,0,0,1,0,0,0,0,1,0,4.0,1.75558,0.0,0.0,0.0,0.0,0.0002867750052507134,0.0
0.438895,Tumbuka,richer,-11513,4,"north, rural",0,0,0,0,1,0,0,0,0,1,0,4.0,1.75558,0.0,0.0,0.0,0.0,0.0002867750052507134,0.0
0.438895,Tumbuka,richest,31379,4,"north, rural",0,0,0,0,1,0,0,0,0,0,1,5.0,2.1944749999999997,0.0,0.0,0.0,0.0,0.001487783654945684,0.0
0.438895,Tumbuka,richest,31379,4,"north, rural",0,0,0,0,1,0,0,0,0,0,1,5.0,2.1944749999999997,0.0,0.0,0.0,0.0,0.001487783654945684,0.0
0.438895,Tumbuka,richer,-43620,4,"north, rural",0,0,0,0,1,0,0,0,0,1,0,4.0,1.75558,0.0,0.0,0.0,0.0,0.0002867750052507134,0.0
0.438895,Tumbuka,poorer,-85038,4,"north, rural",0,0,0,0,1,0,0,1,0,0,0,2.0,0.87779,-0.0,-0.0,-0.0,-0.0,-0.0021152422941392275,-0.0
0.438895,Tumbuka,richer,975,4,"north, rural",0,0,0,0,1,0,0,0,0,1,0,4.0,1.75558,0.0,0.0,0.0,0.0,0.0002867750052507134,0.0
0.438895,Tumbuka,richer,975,4,"north, rural",0,0,0,0,1,0,0,0,0,1,0,4.0,1.75558,0.0,0.0,0.0,0.0,0.0002867750052507134,0.0
0.438895,Tumbuka,richer,-1269,4,"north, rural",0,0,0,0,1,0,0,0,0,1,0,4.0,1.75558,0.0,0.0,0.0,0.0,0.0002867750052507134,0.0
0.438895,Tumbuka,richer,-26856,4,"north, rural",0,0,0,0,1,0,0,0,0,1,0,4.0,1.75558,0.0,0.0,0.0,0.0,0.0002867750052507134,0.0
0.438895,Tumbuka,richer,-26856,4,"north, rural",0,0,0,0,1,0,0,0,0,1,0,4.0,1.75558,0.0,0.0,0.0,0.0,0.0002867750052507134,0.0
0.438895,Tumbuka,richer,-26856,4,"north, rural",0,0,0,0,1,0,0,0,0,1,0,4.0,1.75558,0.0,0.0,0.0,0.0,0.0002867750052507134,0.0
0.438895,Tumbuka,richest,22174,4,"north, rural",0,0,0,0,1,0,0,0,0,0,1,5.0,2.1944749999999997,0.0,0.0,0.0,0.0,0.001487783654945684,0.0
0.438895,Tumbuka,middle,-67685,4,"north, rural",0,0,0,0,1,0,0,0,1,0,0,3.0,1.3166849999999999,0.0,0.0,-0.0,-0.0,-0.000914233644444257,-0.0
0.438895,Tumbuka,middle,-67685,4,"north, rural",0,0,0,0,1,0,0,0,1,0,0,3.0,1.3166849999999999,0.0,0.0,-0.0,-0.0,-0.000914233644444257,-0.0
0.438895,Tumbuka,richest,66319,4,"north, rural",0,0,0,0,1,0,0,0,0,0,1,5.0,2.1944749999999997,0.0,0.0,0.0,0.0,0.001487783654945684,0.0
0.438895,Tumbuka,middle,-64972,4,"north, rural",0,0,0,0,1,0,0,0,1,0,0,3.0,1.3166849999999999,0.0,0.0,-0.0,-0.0,-0.000914233644444257,-0.0
0.438895,Tumbuka,richest,198606,4,"north, rural",0,0,0,0,1,0,0,0,0,0,1,5.0,2.1944749999999997,0.0,0.0,0.0,0.0,0.001487783654945684,0.0
0.521625,Chewa,poorer,-82318,5,"north, rural",1,0,0,0,0,0,0,1,0,0,0,2.0,1.04325,-0.00026276521626289603,-0.0,-0.0,-0.0,-0.0,-0.0
0.521625,Tumbuka,poorer,-92782,5,"north, rural",0,0,0,0,1,0,0,1,0,0,0,2.0,1.04325,-0.0,-0.0,-0.0,-0.0,-0.0025139572373355235,-0.0
0.521625,Tumbuka,middle,-68181,5,"north, rural",0,0,0,0,1,0,0,0,1,0,0,3.0,1.564875,0.0,0.0,-0.0,-0.0,-0.0010865631296397445,-0.0
0.521625,Yao,poorer,-96611,5,"north, rural",0,0,0,0,0,1,0,1,0,0,0,2.0,1.04325,-0.0,-0.0008377987214472889,-0.0,-0.0,-0.0,-0.0
0.512906,Tumbuka,poorest,-108586,6,"north, rural",0,0,0,0,1,0,1,0,0,0,0,1.0,0.512906,-0.0,-0.0,-0.0,-0.0,-0.0038754713692300507,-0.0
0.380336,Tumbuka,poorest,-108490,7,"north, rural",0,0,0,0,1,0,1,0,0,0,0,1.0,0.380336,-0.0,-0.0,-0.0,-0.0,-0.00287378443357551,-0.0
0.380336,Tumbuka,richer,-15200,7,"north, rural",0,0,0,0,1,0,0,0,0,1,0,4.0,1.521344,0.0,0.0,0.0,0.0,0.000248512419592466,0.0
0.380336,Tumbuka,middle,-67887,7,"north, rural",0,0,0,0,1,0,0,0,1,0,0,3.0,1.141008,0.0,0.0,-0.0,-0.0,-0.0007922531981301928,-0.0
0.380336,Tumbuka,middle,-79378,7,"north, rural",0,0,0,0,1,0,0,0,1,0,0,3.0,1.141008,0.0,0.0,-0.0,-0.0,-0.0007922531981301928,-0.0
0.380336,Tumbuka,middle,-79378,7,"north, rural",0,0,0,0,1,0,0,0,1,0,0,3.0,1.141008,0.0,0.0,-0.0,-0.0,-0.0007922531981301928,-0.0
0.380336,Tumbuka,middle,-70565,7,"north, rural",0,0,0,0,1,0,0,0,1,0,0,3.0,1.141008,0.0,0.0,-0.0,-0.0,-0.0007922531981301928,-0.0
0.380336,Tumbuka,poorer,-96469,7,"north, rural",0,0,0,0,1,0,0,1,0,0,0,2.0,0.760672,-0.0,-0.0,-0.0,-0.0,-0.0018330188158528517,-0.0
0.380336,Tumbuka,poorest,-101777,7,"north, rural",0,0,0,0,1,0,1,0,0,0,0,1.0,0.380336,-0.0,-0.0,-0.0,-0.0,-0.00287378443357551,-0.0
0.380336,Tumbuka,middle,-62600,7,"north, rural",0,0,0,0,1,0,0,0,1,0,0,3.0,1.141008,0.0,0.0,-0.0,-0.0,-0.0007922531981301928,-0.0
0.380336,Tumbuka,poorer,-83114,7,"north, rural",0,0,0,0,1,0,0,1,0,0,0,2.0,0.760672,-0.0,-0.0,-0.0,-0.0,-0.0018330188158528517,-0.0
0.380336,Tumbuka,poorer,-83114,7,"north, rural",0,0,0,0,1,0,0,1,0,0,0,2.0,0.760672,-0.0,-0.0,-0.0,-0.0,-0.0018330188158528517,-0.0
0.380336,Tumbuka,richer,-37129,7,"north, rural",0,0,0,0,1,0,0,0,0,1,0,4.0,1.521344,0.0,0.0,0.0,0.0,0.000248512419592466,0.0
0.380336,Tumbuka,richer,2487,7,"north, rural",0,0,0,0,1,0,0,0,0,1,0,4.0,1.521344,0.0,0.0,0.0,0.0,0.000248512419592466,0.0
