sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Bambara,ethnicity_Bobo,ethnicity_Bozo,ethnicity_Dogon,ethnicity_Kassonke,ethnicity_Malinké,ethnicity_Peuhl,ethnicity_Sarakole/Soninke/Marka,ethnicity_Sonrai,ethnicity_Sénoufo/Minianka,ethnicity_Touareg/Bella,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2,IF_3,IF_4,IF_5,IF_6,IF_7,IF_8,IF_9,IF_10
1.224388,Sarakole/Soninke/Marka,richer,9396,1,kayes - rural,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4.0,4.897552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004144381589338178
1.224388,Sarakole/Soninke/Marka,poorer,-68524,1,kayes - rural,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2.0,2.448776,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00213306114529026
1.224388,Sarakole/Soninke/Marka,poorer,-68524,1,kayes - rural,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2.0,2.448776,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00213306114529026
1.224388,Sarakole/Soninke/Marka,poorer,-68524,1,kayes - rural,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2.0,2.448776,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00213306114529026
1.224388,Sarakole/Soninke/Marka,poorer,-71932,1,kayes - rural,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2.0,2.448776,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00213306114529026
1.224388,Sarakole/Soninke/Marka,poorer,-71932,1,kayes - rural,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2.0,2.448776,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00213306114529026
1.224388,Sarakole/Soninke/Marka,poorer,-71932,1,kayes - rural,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2.0,2.448776,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00213306114529026
1.224388,Sarakole/Soninke/Marka,poorer,-71932,1,kayes - rural,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2.0,2.448776,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00213306114529026
1.224388,Sarakole/Soninke/Marka,richer,-6246,1,kayes - rural,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4.0,4.897552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004144381589338178
1.224388,Sarakole/Soninke/Marka,richer,-6246,1,kayes - rural,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4.0,4.897552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004144381589338178
