sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Hill Brahmin,ethnicity_Hill Chhetri,ethnicity_Hill Dalit,ethnicity_Hill Janajati,ethnicity_Muslim,ethnicity_Newar,ethnicity_Terai Brahmin/Chhetri,ethnicity_Terai Dalit,ethnicity_Terai Janajati,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2,IF_3,IF_4,IF_5,IF_6,IF_7,IF_8
0.916093,Hill Janajati,poorest,-104560,1,koshi - rural,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,0.916093,-0.0,-0.0,-0.0,-0.0005175090669419484,-0.0,-0.0,-0.0,-0.0,-0.0
0.916093,Hill Chhetri,poorest,-103378,1,koshi - rural,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.916093,-0.0,-0.0,-0.0006415545376167158,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.916093,Hill Chhetri,poorest,-98744,1,koshi - rural,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.916093,-0.0,-0.0,-0.0006415545376167158,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.916093,Hill Chhetri,poorest,-125297,1,koshi - rural,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.916093,-0.0,-0.0,-0.0006415545376167158,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.916093,Hill Chhetri,poorer,-39437,1,koshi - rural,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1.832186,-0.0,-0.0,-0.0003021256812624184,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.916093,Hill Janajati,poorest,-72414,1,koshi - rural,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,0.916093,-0.0,-0.0,-0.0,-0.0005175090669419484,-0.0,-0.0,-0.0,-0.0,-0.0
0.916093,Hill Janajati,poorer,-57921,1,koshi - rural,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0,1.832186,-0.0,-0.0,-0.0,-0.0002450690610115554,-0.0,-0.0,-0.0,-0.0,-0.0
0.916093,Hill Chhetri,poorest,-95404,1,koshi - rural,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.916093,-0.0,-0.0,-0.0006415545376167158,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.916093,Hill Janajati,poorer,-58728,1,koshi - rural,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0,1.832186,-0.0,-0.0,-0.0,-0.0002450690610115554,-0.0,-0.0,-0.0,-0.0,-0.0
0.916093,Hill Janajati,poorer,-58728,1,koshi - rural,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0,1.832186,-0.0,-0.0,-0.0,-0.0002450690610115554,-0.0,-0.0,-0.0,-0.0,-0.0
0.916093,Hill Janajati,poorer,-58728,1,koshi - rural,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0,1.832186,-0.0,-0.0,-0.0,-0.0002450690610115554,-0.0,-0.0,-0.0,-0.0,-0.0
0.916093,Hill Chhetri,poorer,-32166,1,koshi - rural,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1.832186,-0.0,-0.0,-0.0003021256812624184,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.916093,Hill Janajati,poorest,-93121,1,koshi - rural,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,0.916093,-0.0,-0.0,-0.0,-0.0005175090669419484,-0.0,-0.0,-0.0,-0.0,-0.0
0.916093,Hill Janajati,poorest,-86288,1,koshi - rural,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,0.916093,-0.0,-0.0,-0.0,-0.0005175090669419484,-0.0,-0.0,-0.0,-0.0,-0.0
0.916093,Hill Janajati,poorer,-61740,1,koshi - rural,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0,1.832186,-0.0,-0.0,-0.0,-0.0002450690610115554,-0.0,-0.0,-0.0,-0.0,-0.0
0.916093,Hill Janajati,poorer,-61740,1,koshi - rural,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0,1.832186,-0.0,-0.0,-0.0,-0.0002450690610115554,-0.0,-0.0,-0.0,-0.0,-0.0
0.916093,Hill Janajati,poorer,-61740,1,koshi - rural,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0,1.832186,-0.0,-0.0,-0.0,-0.0002450690610115554,-0.0,-0.0,-0.0,-0.0,-0.0
0.916093,Hill Chhetri,poorest,-90019,1,koshi - rural,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.916093,-0.0,-0.0,-0.0006415545376167158,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.916093,Hill Janajati,poorest,-89862,1,koshi - rural,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,0.916093,-0.0,-0.0,-0.0,-0.0005175090669419484,-0.0,-0.0,-0.0,-0.0,-0.0
0.916093,Hill Chhetri,poorest,-84352,1,koshi - rural,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.916093,-0.0,-0.0,-0.0006415545376167158,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.916093,Hill Janajati,poorer,-56995,1,koshi - rural,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0,1.832186,-0.0,-0.0,-0.0,-0.0002450690610115554,-0.0,-0.0,-0.0,-0.0,-0.0
0.96866,Hill Janajati,poorer,-57512,2,koshi - rural,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0,1.93732,-0.0,-0.0,-0.0,-0.00025913154738596756,-0.0,-0.0,-0.0,-0.0,-0.0
0.96866,Hill Janajati,poorer,-48655,2,koshi - rural,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0,1.93732,-0.0,-0.0,-0.0,-0.00025913154738596756,-0.0,-0.0,-0.0,-0.0,-0.0
0.96866,Hill Janajati,poorest,-93164,2,koshi - rural,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,0.96866,-0.0,-0.0,-0.0,-0.0005472046318266679,-0.0,-0.0,-0.0,-0.0,-0.0
0.96866,Hill Janajati,poorest,-87915,2,koshi - rural,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,0.96866,-0.0,-0.0,-0.0,-0.0005472046318266679,-0.0,-0.0,-0.0,-0.0,-0.0
0.96866,Hill Janajati,poorest,-92860,2,koshi - rural,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,0.96866,-0.0,-0.0,-0.0,-0.0005472046318266679,-0.0,-0.0,-0.0,-0.0,-0.0
0.96866,Hill Janajati,poorest,-154475,2,koshi - rural,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,0.96866,-0.0,-0.0,-0.0,-0.0005472046318266679,-0.0,-0.0,-0.0,-0.0,-0.0
0.96866,Hill Janajati,poorer,-37228,2,koshi - rural,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0,1.93732,-0.0,-0.0,-0.0,-0.00025913154738596756,-0.0,-0.0,-0.0,-0.0,-0.0
0.96866,Hill Janajati,poorest,-97844,2,koshi - rural,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,0.96866,-0.0,-0.0,-0.0,-0.0005472046318266679,-0.0,-0.0,-0.0,-0.0,-0.0
0.96866,Hill Janajati,poorer,-27640,2,koshi - rural,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0,1.93732,-0.0,-0.0,-0.0,-0.00025913154738596756,-0.0,-0.0,-0.0,-0.0,-0.0
0.96866,Hill Janajati,poorer,-60077,2,koshi - rural,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0,1.93732,-0.0,-0.0,-0.0,-0.00025913154738596756,-0.0,-0.0,-0.0,-0.0,-0.0
0.96866,Hill Janajati,poorer,-42811,2,koshi - rural,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0,1.93732,-0.0,-0.0,-0.0,-0.00025913154738596756,-0.0,-0.0,-0.0,-0.0,-0.0
0.96866,Hill Janajati,poorer,-42811,2,koshi - rural,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0,1.93732,-0.0,-0.0,-0.0,-0.00025913154738596756,-0.0,-0.0,-0.0,-0.0,-0.0
0.96866,Hill Janajati,poorest,-69592,2,koshi - rural,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,0.96866,-0.0,-0.0,-0.0,-0.0005472046318266679,-0.0,-0.0,-0.0,-0.0,-0.0
0.96866,Hill Janajati,poorest,-69592,2,koshi - rural,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,0.96866,-0.0,-0.0,-0.0,-0.0005472046318266679,-0.0,-0.0,-0.0,-0.0,-0.0
0.96866,Hill Janajati,poorest,-87420,2,koshi - rural,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,0.96866,-0.0,-0.0,-0.0,-0.0005472046318266679,-0.0,-0.0,-0.0,-0.0,-0.0
