sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Diola,ethnicity_Mandinka,ethnicity_Poular,ethnicity_Serer,ethnicity_Soninke,ethnicity_Wolof,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2,IF_3,IF_4,IF_5
1.44958,Wolof,richer,112922,1,1,0,0,0,0,0,1,0,0,0,1,0,4.0,5.79832,0.0,0.0,0.0,0.0,0.00012107758867286007,0.0
1.44958,Wolof,richer,112922,1,1,0,0,0,0,0,1,0,0,0,1,0,4.0,5.79832,0.0,0.0,0.0,0.0,0.00012107758867286007,0.0
1.44958,Poular,richest,121004,1,1,0,0,1,0,0,0,0,0,0,0,1,5.0,7.2479000000000005,0.0,0.0006318480133726258,0.0,0.0,0.0,0.0
1.44958,Soninke,richest,121004,1,1,0,0,0,0,1,0,0,0,0,0,1,5.0,7.2479000000000005,0.0,0.0,0.0,0.0,0.0,0.007602746421469552
1.44958,Wolof,richer,109154,1,1,0,0,0,0,0,1,0,0,0,1,0,4.0,5.79832,0.0,0.0,0.0,0.0,0.00012107758867286007,0.0
1.44958,Serer,richest,137154,1,1,0,0,0,1,0,0,0,0,0,0,1,5.0,7.2479000000000005,0.0,0.0,0.0010570033208028456,0.0,0.0,0.0
1.44958,Serer,middle,-1071,1,1,0,0,0,1,0,0,0,0,1,0,0,3.0,4.34874,0.0,0.0,-0.00010388998766314697,-0.0,-0.0,-0.0
1.44958,Serer,middle,-1071,1,1,0,0,0,1,0,0,0,0,1,0,0,3.0,4.34874,0.0,0.0,-0.00010388998766314697,-0.0,-0.0,-0.0
1.44958,Wolof,middle,-1071,1,1,0,0,0,0,0,1,0,0,1,0,0,3.0,4.34874,0.0,0.0,-0.0,-0.0,-0.00010119677640284189,-0.0
1.44958,Diola,richer,108505,1,1,1,0,0,0,0,0,0,0,0,1,0,4.0,5.79832,0.0,0.0,0.0,0.0014980807533443183,0.0,0.0
1.44958,Wolof,richest,173035,1,1,0,0,0,0,0,1,0,0,0,0,1,5.0,7.2479000000000005,0.0,0.0,0.0,0.0,0.00034335195374856205,0.0
1.44958,Serer,richest,173035,1,1,0,0,0,1,0,0,0,0,0,0,1,5.0,7.2479000000000005,0.0,0.0,0.0010570033208028456,0.0,0.0,0.0
1.44958,Poular,richest,150650,1,1,0,0,1,0,0,0,0,0,0,0,1,5.0,7.2479000000000005,0.0,0.0006318480133726258,0.0,0.0,0.0,0.0
1.44958,Poular,richest,121641,1,1,0,0,1,0,0,0,0,0,0,0,1,5.0,7.2479000000000005,0.0,0.0006318480133726258,0.0,0.0,0.0,0.0
1.44958,Serer,richest,121641,1,1,0,0,0,1,0,0,0,0,0,0,1,5.0,7.2479000000000005,0.0,0.0,0.0010570033208028456,0.0,0.0,0.0
1.44958,Poular,richest,150924,1,1,0,0,1,0,0,0,0,0,0,0,1,5.0,7.2479000000000005,0.0,0.0006318480133726258,0.0,0.0,0.0,0.0
1.44958,Poular,richest,136404,1,1,0,0,1,0,0,0,0,0,0,0,1,5.0,7.2479000000000005,0.0,0.0006318480133726258,0.0,0.0,0.0,0.0
1.44958,Poular,richest,136404,1,1,0,0,1,0,0,0,0,0,0,0,1,5.0,7.2479000000000005,0.0,0.0006318480133726258,0.0,0.0,0.0,0.0
1.44958,Poular,richest,136404,1,1,0,0,1,0,0,0,0,0,0,0,1,5.0,7.2479000000000005,0.0,0.0006318480133726258,0.0,0.0,0.0,0.0
1.44958,Poular,richest,136404,1,1,0,0,1,0,0,0,0,0,0,0,1,5.0,7.2479000000000005,0.0,0.0006318480133726258,0.0,0.0,0.0,0.0
4.15686,Poular,richest,231810,2,1,0,0,1,0,0,0,0,0,0,0,1,5.0,20.7843,0.0,0.0018119067128879627,0.0,0.0,0.0,0.0
