sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Creole,ethnicity_Fullah,ethnicity_Kono,ethnicity_Korankoh,ethnicity_Limba,ethnicity_Loko,ethnicity_Mandingo,ethnicity_Mende,ethnicity_Sherbro,ethnicity_Temne,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2,IF_3,IF_4,IF_5,IF_6,IF_7,IF_8,IF_9
0.642171,Mende,poorest,-88194,1,pujehun-rural,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,0.642171,-0.0,-0.0,-0.0002478865426326587,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.642171,Mende,poorest,-94742,1,pujehun-rural,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,0.642171,-0.0,-0.0,-0.0002478865426326587,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.642171,Mende,poorest,-88105,1,pujehun-rural,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,0.642171,-0.0,-0.0,-0.0002478865426326587,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.642171,Mende,poorer,-54407,1,pujehun-rural,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,1.284342,-0.0,-0.0,-0.00011583460007566803,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.642171,Mende,poorer,-54407,1,pujehun-rural,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,1.284342,-0.0,-0.0,-0.00011583460007566803,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.642171,Mende,poorer,-73153,1,pujehun-rural,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,1.284342,-0.0,-0.0,-0.00011583460007566803,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.642171,Mende,middle,-40752,1,pujehun-rural,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3.0,1.9265130000000001,0.0,0.0,1.621734248132259e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.642171,Mende,poorest,-103657,1,pujehun-rural,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,0.642171,-0.0,-0.0,-0.0002478865426326587,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.642171,Mende,middle,-21320,1,pujehun-rural,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3.0,1.9265130000000001,0.0,0.0,1.621734248132259e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.642171,Mende,middle,-21320,1,pujehun-rural,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3.0,1.9265130000000001,0.0,0.0,1.621734248132259e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.642171,Mende,poorest,-89575,1,pujehun-rural,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,0.642171,-0.0,-0.0,-0.0002478865426326587,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.642171,Mende,poorest,-103160,1,pujehun-rural,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,0.642171,-0.0,-0.0,-0.0002478865426326587,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.642171,Mende,poorest,-103160,1,pujehun-rural,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,0.642171,-0.0,-0.0,-0.0002478865426326587,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.642171,Mende,poorest,-103160,1,pujehun-rural,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,0.642171,-0.0,-0.0,-0.0002478865426326587,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.642171,Mende,poorest,-90758,1,pujehun-rural,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,0.642171,-0.0,-0.0,-0.0002478865426326587,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
