sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Black/African,ethnicity_Coloured,ethnicity_White,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2
1.396726,Black/African,poorer,-30340,1,urban - gauteng,1,0,0,0,1,0,0,0,2.0,2.793452,-0.00014976361793735983,-0.0,-0.0
1.396726,Black/African,richest,132058,1,urban - gauteng,1,0,0,0,0,0,0,1,5.0,6.98363,0.00041741256807570847,0.0,0.0
1.396726,Black/African,richer,102541,1,urban - gauteng,1,0,0,0,0,0,1,0,4.0,5.586904,0.00022835383940468572,0.0,-0.0
1.396726,Black/African,richest,108057,1,urban - gauteng,1,0,0,0,0,0,0,1,5.0,6.98363,0.00041741256807570847,0.0,0.0
1.206331,Black/African,poorer,-57050,2,traditional - kwazulu-natal,1,0,0,0,1,0,0,0,2.0,2.412662,-0.00012934855869368314,-0.0,-0.0
1.206331,Black/African,poorest,-125921,2,traditional - kwazulu-natal,1,0,0,1,0,0,0,0,1.0,1.206331,-0.0002926357067931984,-0.0,-0.0
1.206331,Black/African,middle,2608,2,traditional - kwazulu-natal,1,0,0,0,0,1,0,0,3.0,3.618993,3.3938589405832164e-05,-0.0,-0.0
1.206331,Black/African,middle,2608,2,traditional - kwazulu-natal,1,0,0,0,0,1,0,0,3.0,3.618993,3.3938589405832164e-05,-0.0,-0.0
1.206331,Black/African,poorer,-17777,2,traditional - kwazulu-natal,1,0,0,0,1,0,0,0,2.0,2.412662,-0.00012934855869368314,-0.0,-0.0
1.206331,Black/African,poorer,-17777,2,traditional - kwazulu-natal,1,0,0,0,1,0,0,0,2.0,2.412662,-0.00012934855869368314,-0.0,-0.0
1.206331,Black/African,poorest,-152908,2,traditional - kwazulu-natal,1,0,0,1,0,0,0,0,1.0,1.206331,-0.0002926357067931984,-0.0,-0.0
1.206331,Black/African,middle,41417,2,traditional - kwazulu-natal,1,0,0,0,0,1,0,0,3.0,3.618993,3.3938589405832164e-05,-0.0,-0.0
1.206331,Black/African,poorest,-175674,2,traditional - kwazulu-natal,1,0,0,1,0,0,0,0,1.0,1.206331,-0.0002926357067931984,-0.0,-0.0
1.206331,Black/African,richer,87815,2,traditional - kwazulu-natal,1,0,0,0,0,0,1,0,4.0,4.825324,0.00019722573750534744,0.0,-0.0
1.206331,Black/African,middle,28812,2,traditional - kwazulu-natal,1,0,0,0,0,1,0,0,3.0,3.618993,3.3938589405832164e-05,-0.0,-0.0
1.206331,Black/African,middle,28812,2,traditional - kwazulu-natal,1,0,0,0,0,1,0,0,3.0,3.618993,3.3938589405832164e-05,-0.0,-0.0
1.206331,Black/African,middle,28812,2,traditional - kwazulu-natal,1,0,0,0,0,1,0,0,3.0,3.618993,3.3938589405832164e-05,-0.0,-0.0
1.206331,Black/African,poorest,-137453,2,traditional - kwazulu-natal,1,0,0,1,0,0,0,0,1.0,1.206331,-0.0002926357067931984,-0.0,-0.0
1.206331,Black/African,middle,6872,2,traditional - kwazulu-natal,1,0,0,0,0,1,0,0,3.0,3.618993,3.3938589405832164e-05,-0.0,-0.0
1.206331,Black/African,richer,49973,2,traditional - kwazulu-natal,1,0,0,0,0,0,1,0,4.0,4.825324,0.00019722573750534744,0.0,-0.0
1.206331,Black/African,richer,49973,2,traditional - kwazulu-natal,1,0,0,0,0,0,1,0,4.0,4.825324,0.00019722573750534744,0.0,-0.0
1.206331,Black/African,middle,-10962,2,traditional - kwazulu-natal,1,0,0,0,0,1,0,0,3.0,3.618993,3.3938589405832164e-05,-0.0,-0.0
1.206331,Black/African,poorest,-92872,2,traditional - kwazulu-natal,1,0,0,1,0,0,0,0,1.0,1.206331,-0.0002926357067931984,-0.0,-0.0
1.206331,Black/African,poorest,-92872,2,traditional - kwazulu-natal,1,0,0,1,0,0,0,0,1.0,1.206331,-0.0002926357067931984,-0.0,-0.0
0.560815,Black/African,poorest,-177637,3,urban - free state,1,0,0,1,0,0,0,0,1.0,0.560815,-0.00013604433103785575,-0.0,-0.0
0.560815,Black/African,poorest,-177637,3,urban - free state,1,0,0,1,0,0,0,0,1.0,0.560815,-0.00013604433103785575,-0.0,-0.0
0.560815,Black/African,poorest,-124927,3,urban - free state,1,0,0,1,0,0,0,0,1.0,0.560815,-0.00013604433103785575,-0.0,-0.0
0.560815,Black/African,middle,-11652,3,urban - free state,1,0,0,0,0,1,0,0,3.0,1.682445,1.5777817214041387e-05,-0.0,-0.0
0.560815,Coloured,poorest,-135208,3,urban - free state,0,1,0,1,0,0,0,0,1.0,0.560815,-0.0,-0.0022974353823026973,-0.0
0.513611,Black/African,poorest,-225902,4,farms - mpumalanga,1,0,0,1,0,0,0,0,1.0,0.513611,-0.00012459343082600168,-0.0,-0.0
0.513611,Black/African,poorest,-225902,4,farms - mpumalanga,1,0,0,1,0,0,0,0,1.0,0.513611,-0.00012459343082600168,-0.0,-0.0
0.513611,Black/African,poorest,-183989,4,farms - mpumalanga,1,0,0,1,0,0,0,0,1.0,0.513611,-0.00012459343082600168,-0.0,-0.0
0.513611,Black/African,poorest,-194087,4,farms - mpumalanga,1,0,0,1,0,0,0,0,1.0,0.513611,-0.00012459343082600168,-0.0,-0.0
0.513611,Black/African,poorest,-199437,4,farms - mpumalanga,1,0,0,1,0,0,0,0,1.0,0.513611,-0.00012459343082600168,-0.0,-0.0
0.513611,Black/African,poorest,-204731,4,farms - mpumalanga,1,0,0,1,0,0,0,0,1.0,0.513611,-0.00012459343082600168,-0.0,-0.0
0.513611,Black/African,poorest,-100696,4,farms - mpumalanga,1,0,0,1,0,0,0,0,1.0,0.513611,-0.00012459343082600168,-0.0,-0.0
1.090862,Black/African,middle,15802,5,traditional - kwazulu-natal,1,0,0,0,0,1,0,0,3.0,3.272586,3.069001585503886e-05,-0.0,-0.0
1.090862,Black/African,poorest,-170578,5,traditional - kwazulu-natal,1,0,0,1,0,0,0,0,1.0,1.090862,-0.00026462486032759,-0.0,-0.0
1.090862,Black/African,poorest,-109127,5,traditional - kwazulu-natal,1,0,0,1,0,0,0,0,1.0,1.090862,-0.00026462486032759,-0.0,-0.0
1.090862,Black/African,poorest,-109127,5,traditional - kwazulu-natal,1,0,0,1,0,0,0,0,1.0,1.090862,-0.00026462486032759,-0.0,-0.0
1.090862,Black/African,poorer,-51276,5,traditional - kwazulu-natal,1,0,0,0,1,0,0,0,2.0,2.181724,-0.00011696742223627559,-0.0,-0.0
1.090862,Black/African,poorer,-51276,5,traditional - kwazulu-natal,1,0,0,0,1,0,0,0,2.0,2.181724,-0.00011696742223627559,-0.0,-0.0
1.090862,Black/African,poorest,-96953,5,traditional - kwazulu-natal,1,0,0,1,0,0,0,0,1.0,1.090862,-0.00026462486032759,-0.0,-0.0
1.090862,Black/African,poorest,-96953,5,traditional - kwazulu-natal,1,0,0,1,0,0,0,0,1.0,1.090862,-0.00026462486032759,-0.0,-0.0
