sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Adja-Ewe/Mina,ethnicity_Akposso/Akebou,ethnicity_Ana-Ife,ethnicity_Kabye/Tem,ethnicity_Para-Gourma/Akan,ethnicity_Stranger,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2,IF_3,IF_4,IF_5
1.647046,Adja-Ewe/Mina,richest,317581,1,agglomération de lomé,1,0,0,0,0,0,0,0,0,0,1,5.0,8.23523,0.0,0.0,0.0,0.0,0.0011998935171000703,0.0
1.647046,Adja-Ewe/Mina,richest,106513,1,agglomération de lomé,1,0,0,0,0,0,0,0,0,0,1,5.0,8.23523,0.0,0.0,0.0,0.0,0.0011998935171000703,0.0
1.647046,Adja-Ewe/Mina,richest,112232,1,agglomération de lomé,1,0,0,0,0,0,0,0,0,0,1,5.0,8.23523,0.0,0.0,0.0,0.0,0.0011998935171000703,0.0
1.647046,Kabye/Tem,richest,112232,1,agglomération de lomé,0,0,0,1,0,0,0,0,0,0,1,5.0,8.23523,0.0,0.0,0.0023481143834337462,0.0,0.0,0.0
1.647046,Adja-Ewe/Mina,richest,149983,1,agglomération de lomé,1,0,0,0,0,0,0,0,0,0,1,5.0,8.23523,0.0,0.0,0.0,0.0,0.0011998935171000703,0.0
1.647046,Adja-Ewe/Mina,richer,96021,1,agglomération de lomé,1,0,0,0,0,0,0,0,0,1,0,4.0,6.588184,0.0,0.0,0.0,0.0,0.0003428763577974051,-0.0
1.647046,Adja-Ewe/Mina,richest,107462,1,agglomération de lomé,1,0,0,0,0,0,0,0,0,0,1,5.0,8.23523,0.0,0.0,0.0,0.0,0.0011998935171000703,0.0
1.647046,Stranger,richer,80356,1,agglomération de lomé,0,0,0,0,0,1,0,0,0,1,0,4.0,6.588184,0.0,0.0,0.0,0.0,0.0,-0.00027744494817997937
1.647046,Kabye/Tem,richer,29199,1,agglomération de lomé,0,0,0,1,0,0,0,0,0,1,0,4.0,6.588184,0.0,0.0,0.0011387393813984436,0.0,0.0,-0.0
1.647046,Kabye/Tem,richer,94477,1,agglomération de lomé,0,0,0,1,0,0,0,0,0,1,0,4.0,6.588184,0.0,0.0,0.0011387393813984436,0.0,0.0,-0.0
1.647046,Adja-Ewe/Mina,richest,124828,1,agglomération de lomé,1,0,0,0,0,0,0,0,0,0,1,5.0,8.23523,0.0,0.0,0.0,0.0,0.0011998935171000703,0.0
1.647046,Adja-Ewe/Mina,richer,58176,1,agglomération de lomé,1,0,0,0,0,0,0,0,0,1,0,4.0,6.588184,0.0,0.0,0.0,0.0,0.0003428763577974051,-0.0
1.647046,Adja-Ewe/Mina,richest,193221,1,agglomération de lomé,1,0,0,0,0,0,0,0,0,0,1,5.0,8.23523,0.0,0.0,0.0,0.0,0.0011998935171000703,0.0
1.647046,Adja-Ewe/Mina,richest,123639,1,agglomération de lomé,1,0,0,0,0,0,0,0,0,0,1,5.0,8.23523,0.0,0.0,0.0,0.0,0.0011998935171000703,0.0
1.647046,Adja-Ewe/Mina,richest,270872,1,agglomération de lomé,1,0,0,0,0,0,0,0,0,0,1,5.0,8.23523,0.0,0.0,0.0,0.0,0.0011998935171000703,0.0
1.751392,Adja-Ewe/Mina,richer,87976,2,agglomération de lomé,1,0,0,0,0,0,0,0,0,1,0,4.0,7.005568,0.0,0.0,0.0,0.0,0.000364598748326102,-0.0
1.751392,Adja-Ewe/Mina,richest,134184,2,agglomération de lomé,1,0,0,0,0,0,0,0,0,0,1,5.0,8.75696,0.0,0.0,0.0,0.0,0.0012759108772316778,0.0
1.751392,Kabye/Tem,richest,100663,2,agglomération de lomé,0,0,0,1,0,0,0,0,0,0,1,5.0,8.75696,0.0,0.0,0.0024968754644562417,0.0,0.0,0.0
1.751392,Para-Gourma/Akan,richest,100629,2,agglomération de lomé,0,0,0,0,1,0,0,0,0,0,1,5.0,8.75696,0.0065897305434865225,0.0,0.0,0.0,0.0,0.0
