country,ethnicity,count_in_country
Afghanistan,Pashtun,12491
Afghanistan,Tajik,8968
Afghanistan,Hazara,2724
Afghanistan,Uzbek,2042
Afghanistan,Nuristani,1255
Afghanistan,Turkmen,632
Afghanistan,Pashai,525
Afghanistan,Baloch,348
Albania,Albanian,14551
Albania,Egyptian,238
Albania,Roma,143
Albania,Greek,36
Albania,Macedonian,8
Albania,Vlach,6
Belize,Mestizo/Spanish/Latino,2242
Belize,Creole,1069
Belize,Maya,654
Belize,Garifuna,326
Benin,Fon And Related..,5745
Benin,Adja And Related,2174
Benin,Yoruba And Related..,1936
Benin,Bariba And Related..,1729
Benin,Peulh And Related,1243
Benin,Betamaribe And Related,1065
Benin,Dendi And Related..,838
Benin,"Yoa, Lokpa And Related.",441
Burkina Faso,Mossi,9286
Burkina Faso,Fulfulde/ Peulh,1152
Burkina Faso,Bissa,967
Burkina Faso,Gourounsi,924
Burkina Faso,Gourmantche,779
Burkina Faso,Bobo,577
Burkina Faso,Dagara,532
Burkina Faso,Senoufo,456
Burkina Faso,Lobi,398
Burkina Faso,Dioula,136
Burkina Faso,Other African Countries,51
Burkina Faso,Ecowas Countries,38
Burkina Faso,Other Nationality,32
Burkina Faso,Touareg/ Bella,25
Central African Republic,Gbaya,2555
Central African Republic,Banda,1906
Central African Republic,Mandja,865
Central African Republic,Yakoma/Sango,858
Central African Republic,Ngbaka/Bantou,708
Central African Republic,Sara,585
Central African Republic,Hausa,466
Central African Republic,Mboum,432
Central African Republic,Zandé/Nzakara,286
Chad,Sara,4834
Chad,Gorane,3319
Chad,Arab,3281
Chad,Kanembou/Bornou,1975
Chad,Ouaddai/Mimi,1398
Chad,Zaghawa,1180
Chad,Bidio/Kenga/Dangleat,917
Chad,Massa/Mousseye,778
Chad,Moundang,753
Chad,Dadjo/Mouro,632
Chad,Boulala/Medego,596
Chad,Marba/Lele,500
Chad,Tama/Assongori,422
Chad,Toupouri/Kera,352
Chad,Gabri/Nangtchere,312
Chad,Fulani,259
Chad,Baguirmi/Barma,238
Chad,Karo/Zime,198
Chad,Mesmedje/Massalat,121
Chad,Manquant,5
Colombia,None Of The Above,30042
Colombia,Indigenous,4264
Colombia,Black/Mulato/Afro-Colombian/Afro-Descendant,3866
Colombia,Raizal From Archipelago (San Andres),460
Colombia,Palanquero From San Basilio,72
Colombia,Gypsy (Rom),14
Congo,Kongo,4408
Congo,Tekes,1927
Congo,Mbosi,1520
Congo,Sangha-Likouala,1155
Congo,Etrangers(Non Congolais),675
Congo,Mbetis,563
Congo,Eshira,34
Congo,Nsp/Nd,13
Cuba,White,5968
Cuba,Negro,862
Côte d’Ivoire,Not-Ivorian,3133
Côte d’Ivoire,Baoulé,2826
Côte d’Ivoire,Senoufo,1727
Côte d’Ivoire,Malinke Ou Maninka,1292
Côte d’Ivoire,Agni,590
Côte d’Ivoire,Yacouba Ou Dan,503
Côte d’Ivoire,Dioula,435
Côte d’Ivoire,Lobi,402
Côte d’Ivoire,Koyaka Ou Koyara,377
Côte d’Ivoire,Gouro,345
Côte d’Ivoire,Koulango,314
Côte d’Ivoire,Bété,313
Côte d’Ivoire,Akye Ou Attie,292
Côte d’Ivoire,Guere,237
Côte d’Ivoire,Djimini,172
Côte d’Ivoire,Mahouka Ou Mahou,154
Côte d’Ivoire,Tagbana,128
Côte d’Ivoire,Abron,126
Côte d’Ivoire,Wobe,126
Côte d’Ivoire,Abbey,119
Côte d’Ivoire,Adjoukrou,110
Côte d’Ivoire,Dida,99
Côte d’Ivoire,Other Ivorian,86
Côte d’Ivoire,Abidji,70
Côte d’Ivoire,Baralaka,69
Côte d’Ivoire,Koro,64
Côte d’Ivoire,Bambara,60
Côte d’Ivoire,Kroumen,57
Côte d’Ivoire,Aboure,55
Côte d’Ivoire,Gnaboua Ou Niaboua,55
Côte d’Ivoire,Andoh,50
Côte d’Ivoire,Birifor,46
Côte d’Ivoire,Toura,45
Côte d’Ivoire,Ebrie,39
Côte d’Ivoire,Gagou,32
Côte d’Ivoire,Mbatto Ou Goua,29
Côte d’Ivoire,Godie,27
Côte d’Ivoire,Ngain,27
Côte d’Ivoire,Appolo Ou N'Zima,21
Côte d’Ivoire,Worodougouka,19
Côte d’Ivoire,Yohoure Ou Yaoure,19
Côte d’Ivoire,Ahizi,17
Côte d’Ivoire,Avikam Ou Brignan,17
Côte d’Ivoire,Ouan,17
Côte d’Ivoire,Nafana,14
Côte d’Ivoire,Gban,11
Côte d’Ivoire,Lohron,10
Côte d’Ivoire,Mona Ou Mouan,10
Côte d’Ivoire,Kouzie,8
Côte d’Ivoire,Kouya,7
Côte d’Ivoire,Neyo,7
Côte d’Ivoire,Niedeboua,7
Côte d’Ivoire,Souaminlin,5
Côte d’Ivoire,Wane,5
Côte d’Ivoire,Alladian,4
Côte d’Ivoire,Bakwe,4
Côte d’Ivoire,Degha,4
Côte d’Ivoire,Gbin,4
Côte d’Ivoire,Komara Ou Kamara,4
Côte d’Ivoire,Samogho,4
Côte d’Ivoire,Ehotile,2
Côte d’Ivoire,Essouma,2
Côte d’Ivoire,Fodonon,2
Côte d’Ivoire,Karandjan,2
Côte d’Ivoire,Krobou,2
Côte d’Ivoire,Niarafolo,2
Côte d’Ivoire,Ouodougou,2
Côte d’Ivoire,Conja,1
Côte d’Ivoire,Djamala,1
Côte d’Ivoire,Ega,1
Côte d’Ivoire,Foula,1
Côte d’Ivoire,Gbonzron,1
Côte d’Ivoire,Gouin Ou Kirma,1
Côte d’Ivoire,Kodia,1
Côte d’Ivoire,Koufoulo,1
Côte d’Ivoire,Mangoro,1
Côte d’Ivoire,N'Garadougouka,1
Côte d’Ivoire,Naturalise,1
Côte d’Ivoire,Nigbi,1
Côte d’Ivoire,Ouadougou,1
Côte d’Ivoire,Siti,1
Ethiopia,Amhara,3688
Ethiopia,Oromo,3611
Ethiopia,Tigrie,1905
Ethiopia,Somalie,1463
Ethiopia,Afar,947
Ethiopia,Guragie,655
Ethiopia,Sidama,355
Ethiopia,Welaita,322
Ethiopia,Berta,300
Ethiopia,Nuwer,284
Ethiopia,Anyiwak,252
Ethiopia,Hadiya,230
Ethiopia,Kefficho,209
Ethiopia,Gumuz,195
Ethiopia,Gamo,156
Ethiopia,Silte,148
Ethiopia,Kembata,126
Ethiopia,Gedeo,119
Ethiopia,Shinasha,69
Ethiopia,Sheko,62
Ethiopia,Agew-Awi,62
Ethiopia,Dawuro,54
Ethiopia,Bench,53
Ethiopia,Mejenger,36
Ethiopia,Ari,32
Ethiopia,Goffa,32
Ethiopia,Derashe,31
Ethiopia,Harari,30
Ethiopia,Dizi,28
Ethiopia,Yem,24
Ethiopia,Burji,22
Ethiopia,Konta,18
Ethiopia,Bena,16
Ethiopia,Argoba,11
Ethiopia,Komo,11
Ethiopia,Mao,10
Ethiopia,Agew Hamyra,8
Ethiopia,Shekecho,7
Ethiopia,Other Foreigners,3
Ethiopia,Basketo,3
Ethiopia,Konso,2
Ethiopia,Guagu,2
Ethiopia,Me'Enite,1
Ethiopia,Koyego,1
Ethiopia,Alaba,1
Gabon,Shira-Punu/Vili,2424
Gabon,Fang,2185
Gabon,Nzabi-Duma,1294
Gabon,Kota-Kele,973
Gabon,Mbede-Teke,516
Gabon,Myene,489
Gabon,Okande-Tsogho,303
Gabon,Pygmée,16
Gambia,Mandinka/Jahanka,3701
Gambia,Fula/Tukulur/Lorobo,2569
Gambia,Wollof,1679
Gambia,Non-Gambian,1203
Gambia,Sarahule,1143
Gambia,Jola/Karoninka,782
Gambia,Serere,376
Gambia,Bambara,161
Gambia,Manjago,105
Gambia,Creole/Aku Marabout,64
Georgia,Georgian,6045
Georgia,Armenian,337
Georgia,Azeri,294
Ghana,Akan,5217
Ghana,Mole-Dagbani,4024
Ghana,Ewe,1641
Ghana,Gurma,1484
Ghana,Grusi,747
Ghana,Guan,697
Ghana,Ga/Dangme,593
Ghana,Mande,479
Guatemala,Ladina/Mestiza,15980
Guatemala,Maya,9636
Guatemala,Xinca,225
Guatemala,Garífuna,37
Guinea,Fulani,2237
Guinea,Malinké,1687
Guinea,Soussou,1066
Guinea,Kissi,365
Guinea,Guerze,334
Guinea,Toma,151
Guinea-Bissau,Fula,2973
Guinea-Bissau,Balanta,2297
Guinea-Bissau,Mandinga,1306
Guinea-Bissau,Papel,1211
Guinea-Bissau,Beafada,749
Guinea-Bissau,Manjaco,745
Guinea-Bissau,Mancanha,279
Guinea-Bissau,Felupe,119
Guyana,East Indian,1988
Guyana,Black,1519
Guyana,Mixed Race,1187
Guyana,Amerindian,1174
Honduras,Ninguno/No Sabe/No Responde,15741
Honduras,Lenca,1603
Honduras,Otros Pueblos,689
Honduras,Misquito,682
Honduras,Garifuna,311
Honduras,Maya Chorti,253
Jordan,Jordanian,12390
Jordan,Syrian,1703
Jordan,Non Arab Nationalities,93
Jordan,Egyptian,93
Jordan,Iraqi,41
