ethnicity,mean_quintile_rank,se_mean_quintile_rank,n_unweighted,n_eff
Lobi,1.9435316733944095,0.13237547429401,402,320.2461635202698
Djimini,2.62082047169359,0.2180622382921697,172,122.72704794618846
Not-Ivorian,2.699902528796711,0.07643082524094565,3133,1998.4370130022899
Gouro,2.9451481633942125,0.2025761177162377,345,196.19297818881483
Yacouba Ou Dan,3.028587495819299,0.14871972261279498,503,334.4934040425284
Senoufo,3.0330530701089335,0.08436320145896131,1727,1166.4607067751751
Koulango,3.0518010619391625,0.20837547456806021,314,191.07103990243246
Baoulé,3.2125937939185416,0.08859927724209175,2826,1454.8476303308514
Tagbana,3.270308864614245,0.18299722756730744,128,88.63552346454775
Abron,3.438495379708526,0.2338076914197568,126,59.05116541546265
Koyaka Ou Koyara,3.449286371688516,0.1495321894935984,377,179.19261515023967
Mahouka Ou Mahou,3.5676560660707337,0.2760155520364714,154,79.3935200644841
Wobe,3.605509282924727,0.22660959308567682,126,75.0950461428979
Abbey,3.6579856899762824,0.3189991247282303,119,74.43759643408133
Dioula,3.671812420128146,0.22622437522199484,435,197.0326035607277
Guere,3.6997130035871866,0.2630414006074435,237,116.92046047778
Malinke Ou Maninka,3.7421344517955966,0.09306078034960823,1292,499.93209980278004
Agni,3.8419701901111383,0.1212481438962261,590,303.03034702413214
Adjoukrou,3.8622268758424414,0.309276220448875,110,62.27168134585366
Akye Ou Attie,3.980260495997039,0.14828086659739337,292,158.5358988453011
Bété,4.073123801969026,0.15605316442911188,313,164.55043104470613
