ethnicity,mean_quintile_rank,se_mean_quintile_rank,n_unweighted,n_eff
Afar,1.6474857966501657,0.15554878429275143,947,344.6476114888242
Gumuz,1.936822734084944,0.1734671811876257,195,48.405385295328536
Somalie,1.958220975057788,0.11396832331677335,1463,907.0861729820894
Nuwer,2.088323405358038,0.4907622764262444,284,186.24521281694547
Berta,2.512124264212592,0.2168040143964079,300,284.63769808203006
Sidama,2.5469572236876146,0.19762045076009954,355,307.8791077890348
Anyiwak,2.818031315700752,0.4088116394148431,252,210.47515694577118
Kefficho,2.97511666768609,0.20853113804952672,209,104.14587703814583
Oromo,3.1260155747857326,0.10022700996916528,3611,1735.9675391979185
Tigrie,3.16324996970438,0.10425529287819096,1905,1588.9188595758912
Hadiya,3.2287746364842915,0.21883411019224205,230,196.21592095146556
Gedeo,3.237949248357932,0.19373381951517765,119,114.23575624177825
Gamo,3.2859992000114526,0.33900721454315613,156,143.05127931762476
Amhara,3.4787287610676714,0.06885030422787965,3688,2134.7077573732936
Silte,3.6174041043646255,0.4268405186280882,148,107.25902004049769
Welaita,3.697756074462549,0.20566462101416422,322,268.61434561128556
Kembata,3.7315099012486654,0.13369666979813802,126,93.10014401531957
Guragie,4.233421437209842,0.1938980022765955,655,330.43791293459134
