ethnicity,mean_quintile_rank,se_mean_quintile_rank,n_unweighted,n_eff
Touareg/Bella,2.377486616057496,0.20646860406783127,948,400.1313114525484
Dogon,2.4800733564824857,0.19720017262416228,422,324.8212519090214
Kassonke,2.4957960409382514,0.24006022112724723,311,247.10826208419888
Bozo,2.632268951423097,0.1890263194499505,306,249.99546946727204
Sonrai,2.8734080974008145,0.18321849694541278,987,565.5240545943803
Sénoufo/Minianka,2.8815451797005185,0.2013596050427002,907,741.2405753972303
Bobo,3.0554104053064886,0.48590861348767894,140,129.68296603863962
Peuhl,3.1662731095579164,0.16605757156432294,1310,1149.9276086955297
Bambara,3.197469697568185,0.08924356889119676,3286,2787.360001787444
Malinké,3.5674690905629727,0.21126258057377073,746,586.1849272869142
Sarakole/Soninke/Marka,3.6746313859661304,0.11775581558883842,1101,847.0216617472797
