ethnicity,mean_quintile_rank,se_mean_quintile_rank,n_unweighted,n_eff
Karekare,1.6359876161587183,0.22756187654061008,140,96.92445235762914
Fulani,2.0279127648101585,0.1455019521352611,1117,904.0297375724647
Kanuri/Beriberi,2.092915971947751,0.17459824158988999,366,266.89593876223256
Hausa,2.5399007665413733,0.09704771252422102,3289,2519.8327422063767
Tiv,2.5861148495094377,0.17754986476399084,328,296.2795990246062
Annang,3.357865728003659,0.16932028456923717,113,95.60463970333909
Ibibio,3.6633103328462426,0.15120872052108753,267,203.8724771135915
Ijaw/Izon,3.8312914938260025,0.18997609177326522,309,234.6807273999744
Igala,3.8344230909435315,0.17970794445900345,126,86.05175791558155
Idoma,3.9185058711761505,0.17215251366171086,150,138.08332517340753
Igbo/Ibo,4.065928111005933,0.07225929375104191,1782,1355.275069597221
Yoruba,4.341616779991453,0.0696757174289518,1821,1329.3594192485411
