ethnicity,mean_quintile_rank,se_mean_quintile_rank,n_unweighted,n_eff
Korankoh,2.6169874348035855,0.10151252854322217,960,601.2015165881834
Sherbro,2.833470151143685,0.2511856071324207,296,227.28000436094274
Mende,2.8771896712210534,0.05519450627467312,4979,4010.3827089491324
Kono,3.1714194826536093,0.10694382121929252,668,587.415868895329
Temne,3.188900485411392,0.07546046654205227,4886,3543.0865365750933
Limba,3.4002930237326523,0.12207406859324733,1355,969.577644721222
Loko,3.7297069515687618,0.2260293323319684,294,217.05198090086802
Mandingo,3.919168355777584,0.1533874626224499,455,335.8174316465031
Fullah,4.110135043467715,0.09344306817733769,684,453.318831316082
Creole,4.7622398210382695,0.06285667788548915,103,79.4148025474717
