ethnicity,mean_quintile_rank,se_mean_quintile_rank,n_unweighted,n_eff
Jie,1.0,0.0,122,91.82063574866345
Dodoth,1.0120270775827398,0.011436480667455711,120,109.58912449806711
Karimojong,1.382184685656432,0.12375432576118973,283,174.61962659149245
Kumam,1.978386378563763,0.14238522095131215,161,139.04203277447786
Acholi,2.0301268593617325,0.16829359977895877,1081,977.8286488086018
Alur,2.2110630350516933,0.17264260382880867,546,389.8316109492019
Lango,2.257846780437181,0.09022921618796846,1298,1210.8200933193712
Aringa,2.31349842806452,0.4603732517567564,193,163.70076100461242
Sabiny,2.355388655811637,0.37145566665682317,112,97.57406197637938
Madi,2.3650641035956523,0.29673114650821697,200,170.6108418067419
Lugbara,2.4420263754854425,0.19361241779826488,539,476.3959394797825
Iteso,2.5368478816786024,0.132107547291989,1637,1336.839963377838
Bagwere,2.6843983008988044,0.14246672167200614,320,256.5953748692194
Jopadhola,2.890941250503435,0.14990982683559714,338,289.2637237835338
Banyole,2.9507127162819975,0.17087504587702293,312,214.46509449165384
Bafumbira,3.092445062515366,0.09648481784966889,319,267.6601212836911
Bakiga,3.0970224877720924,0.06793328256351105,1419,1224.2672392068944
Bagisu,3.1370307196528717,0.11009420614715644,991,811.5267198262563
Basamia,3.2702651577638924,0.14757668260069423,278,220.21402088836982
Basoga,3.4580627343559844,0.11341838433998579,1161,833.9472574183991
Bakonzo,3.528381488030815,0.1675734610479393,415,352.0812602328259
Batoro,3.536575011113224,0.16449872436493274,499,399.0315498292072
Banyoro,3.6121182048009364,0.12083440650174004,609,430.82036775888025
Banyankore,3.6199484644082673,0.07322091267886913,1687,1393.257681874727
Banyarwanda,3.6742884620895304,0.11908464816468561,345,246.2159905918477
Baganda,4.305869033923966,0.057419688465182556,2436,1694.525429640619
