ethnicity,mean_quintile_rank,se_mean_quintile_rank,n_unweighted,n_eff
Fulfulde/ Peulh,2.0096374130298518,0.09939005988861634,1152,875.7483783830191
Gourmantche,2.1345011913297514,0.12367867457961185,779,679.6815481572071
Lobi,2.770684994055521,0.191744750684368,398,325.5265800864327
Gourounsi,2.954350758974507,0.1136430640735946,924,789.325636408219
Dagara,3.0442491066367094,0.21278646651130234,532,271.5026359467671
Bobo,3.2108387274249037,0.1918094412673978,577,497.42557098401466
Mossi,3.3389799199569516,0.04376031276400866,9286,7326.832244260823
Bissa,3.4611396281711597,0.09220007860937757,967,844.6991357319715
Senoufo,3.5295079087861954,0.14653775895306176,456,345.20561693171226
Dioula,4.334476023653221,0.13632920360806453,136,105.56289051665652
