ethnicity,mean_quintile_rank,se_mean_quintile_rank,n_unweighted,n_eff
Tama/Assongori,1.994519176472221,0.17406584007456985,422,288.753790297539
Dadjo/Mouro,2.2529305528297434,0.15192744252346665,632,429.79283810079545
Mesmedje/Massalat,2.3201669917770347,0.22888444572243197,121,105.49400698434962
Ouaddai/Mimi,2.534266367878646,0.12514554048800636,1398,1004.7699454516132
Kanembou/Bornou,2.7335907879425836,0.10414575867049405,1975,1436.692679566961
Zaghawa,2.7843321955583,0.20920694196528702,1180,373.00933442350157
Bidio/Kenga/Dangleat,2.8160024577548937,0.15874628245698563,917,750.8306519485675
Arab,2.9331041671710367,0.09399168433209476,3281,2363.909908100993
Boulala/Medego,2.975026566790883,0.24199042848618846,596,464.42815463453803
Gorane,2.9766246058693633,0.1105922784599925,3319,1407.3574420037792
Sara,3.2269226342315878,0.045717847226910704,4834,3725.1625731845897
Massa/Mousseye,3.2483133033686813,0.09894962621710969,778,614.3084284159247
Marba/Lele,3.3804623983587723,0.08869431064533952,500,351.35018019575836
Toupouri/Kera,3.456659923406782,0.09057375748075737,352,278.9812650417787
Karo/Zime,3.566355689769061,0.11829597224117255,198,157.0884071367094
Fulani,3.570075779056013,0.16813334328001633,259,182.50724117745295
Gabri/Nangtchere,3.6185585651481866,0.155218664440834,312,268.8474866549777
Baguirmi/Barma,3.667738551702529,0.1907471013189109,238,194.4306027616591
Moundang,3.9606496761710117,0.11652514740908984,753,604.0804368173879
