ethnicity,n,poorest,poorer,middle,richer,richest
Lobi,303,0.47511678973978066,0.26821852164745796,0.1495145119478691,0.05231657880835525,0.05483359785653685
Not-Ivorian,3340,0.24321743238772306,0.23474009548519312,0.21161369740695438,0.19978006038290919,0.11064871433722043
Gouro,401,0.23254789106501111,0.231521783680435,0.12743914408556123,0.17521663313331573,0.23327454803567693
Djimini,166,0.22802019686457892,0.26281492933735734,0.24365427093182865,0.19134541097236485,0.07416519189387023
Senoufo,1761,0.18955417735329697,0.18899597660614684,0.22236061676313687,0.1970210571331644,0.20206817214425501
Baoulé,2584,0.18593469676386734,0.18236666637015067,0.1506119118691982,0.1953435961771406,0.28574312881964326
Yacouba Ou Dan,617,0.17247279519147038,0.2170947659361854,0.21704943205932672,0.19613816148760957,0.19724484532540784
Koulango,289,0.15770720992190912,0.21190246328049459,0.2297500575794175,0.22216259337288252,0.17847767584529628
Tagbana,145,0.14132683492420178,0.08843060226641916,0.2966536231733636,0.3057847425429625,0.16780419709305291
Abbey,115,0.1256364363102414,0.10475636884113296,0.17908407546793328,0.16703130732348687,0.4234918120572056
Koyaka Ou Koyara,329,0.11609314910361897,0.10746575928389084,0.22235401995436432,0.31923571413660684,0.23485135752151895
Mahouka Ou Mahou,171,0.11099350315515844,0.12121615168431432,0.1604051295827391,0.30391120709021163,0.30347400848757644
Guere,324,0.11097724752800069,0.11553755697122924,0.12190706625142264,0.26595120288427776,0.3856269263650697
Dioula,383,0.10331101201250184,0.11560451402899628,0.13398174932364215,0.30016649108757354,0.3469362335472861
Abron,124,0.1002027717775368,0.16307501889508988,0.17521970019670322,0.3210290761026511,0.24047343302801913
Wobe,147,0.0861559380401585,0.07492869193811709,0.307281034374495,0.2105188203512976,0.3211155152959318
Agni,608,0.06977194287985991,0.0765696761464498,0.19354225907449102,0.2621484917810906,0.39796763011810854
Bété,415,0.06192037081137069,0.0542733628804905,0.1589451832700663,0.1984842596038872,0.5263768234341853
Malinke Ou Maninka,883,0.05824768099339452,0.10649137246834779,0.2024006301014883,0.3005994466228055,0.3322608698139638
Akye Ou Attie,340,0.022938222445082448,0.09270010874625079,0.1872557248347147,0.2753748383144487,0.42173110565950334
Adjoukrou,98,0.014430628530092648,0.11353194741545344,0.2609815540681264,0.2174916596545753,0.39356421033175226
