ethnicity,n,poorest,poorer,middle,richer,richest
Maasai,689,0.4478213382237224,0.20763519090551671,0.16520261993038987,0.0993919524127893,0.07994889852758169
Mijikenda/Swahili,1658,0.38814256132697783,0.10469752932705666,0.1697674682320287,0.21013012307372625,0.1272623180402105
Somali,846,0.37872547876105833,0.07544807681132,0.09830948058401728,0.19082092835026712,0.25669603549333725
Kalenjin,4503,0.21016419929169802,0.24491969686634793,0.24127365527114816,0.18547827388503715,0.11816417468576876
Meru,1633,0.16607482581367974,0.1806351064517269,0.2053616807845085,0.2336986917893577,0.2142296951607271
Kamba,3571,0.12872598002145885,0.18883911337761494,0.1770809694723941,0.2320436232326717,0.27331031389586036
Kisii,1857,0.12803730595274432,0.21558675537406555,0.2031049057309665,0.2191769077572912,0.23409412518493236
Luo,3597,0.11893645410189634,0.2120700968648601,0.17448320306431903,0.19815025787114518,0.2963599880977793
Embu,410,0.10946580668895574,0.10731025198825224,0.1992204350014237,0.290213445325698,0.29379006099567034
Luhya,5283,0.10203653882229938,0.2466606701906535,0.2217497416224781,0.21798983073275133,0.21156321863181762
Taita/Taveta,234,0.06525781460172161,0.1639701238542262,0.24071511025061987,0.2805500965703459,0.24950685472308637
Kikuyu,5845,0.015589492215413706,0.06782164565164879,0.16546984119767522,0.3056691090480352,0.44544991188722705
