ethnicity,n,poorest,poorer,middle,richer,richest
Kassonke,308,0.3842729108217988,0.15488142150833514,0.13613432037278494,0.23019941050397819,0.094511936793103
Dogon,789,0.36311478466214214,0.21381705237612186,0.1313202061632745,0.16337593541403084,0.12837202138443057
Touareg/Bella,377,0.30006903454480754,0.32525475909311974,0.1399306619087073,0.16661164466650036,0.06813389978686524
Sénoufo/Minianka,908,0.2619322760737935,0.19010626821492999,0.16687387174226256,0.16665916787499205,0.21442841609402188
Bozo,381,0.2605535074877986,0.24287089275191204,0.2186993578836016,0.1595056246027692,0.11837061727391864
Bobo,198,0.22679636200323866,0.18893522366264867,0.16074071041069288,0.14911705487122479,0.2744106490521949
Peuhl,1463,0.2090535731044884,0.11460899072985178,0.22006389109108343,0.21355784365240726,0.24271570142216908
Sonrai,770,0.18858347585489366,0.32487591113814457,0.1095978236136474,0.17843461853788223,0.19850817085543213
Malinké,838,0.1317976449875711,0.09411054089303977,0.18018597868986985,0.2626367494278842,0.3312690860016352
Bambara,3467,0.12109296518666629,0.21878405899678927,0.24319778634830783,0.1754106919981667,0.24151449747006992
Sarakole/Soninke/Marka,961,0.06934509208728588,0.1082380592146987,0.16906475882537889,0.3851445503898725,0.26820753948276405
