ethnicity,n,poorest,poorer,middle,richer,richest
Karekare,117,0.5978204936024599,0.30834386964475763,0.0035435619420207433,0.04061167661312741,0.04968039819763424
Fulani,1059,0.5113157552319818,0.18176397060706567,0.1511858170902526,0.07916066826021236,0.0765737888104876
Kanuri/Beriberi,376,0.4386390518637773,0.24462105209633367,0.16925256309403283,0.08015953812007323,0.067327794825783
Hausa,4382,0.2541379266919164,0.28892183977449293,0.19783517126003652,0.18111166484740876,0.07799339742614532
Tiv,260,0.21916766131957044,0.2611632186297749,0.3083645880644055,0.13699567319414546,0.07430885879210386
Ibibio,376,0.033836383753757165,0.08267146305032086,0.3161138163693831,0.3211021102489999,0.24627622657753906
Yoruba,1647,0.020609817396620017,0.023344131831396105,0.0959769395427032,0.3139576758424725,0.5461114353868082
Igbo/Ibo,1332,0.014994003232042792,0.0575856421022131,0.20178792394705566,0.2977631018651457,0.4278693288535428
Annang,124,0.007330734778515241,0.16046563021060534,0.43238816555087706,0.2666381111487101,0.13317735831129232
Igala,107,0.0051706883131324355,0.027670502501740687,0.34731410029769566,0.3672544477033255,0.25259026118410566
Ijaw/Izon,141,0.0032129800004150073,0.09716014295160129,0.2685224875195625,0.3273311822784085,0.3037732072500127
Idoma,136,0.0,0.04734541654700735,0.23828303490920957,0.4628918093644086,0.2514797391793746
