ethnicity,n,poorest,poorer,middle,richer,richest
Sama /Bangingi / Badajo/ Laut/ Samal,103,0.759726142286248,0.13539596381592542,0.030901075379358458,0.04169438340292889,0.032282435115539077
Yakan,43,0.7297241021356136,0.2234444951393702,0.024569960846262725,0.022261441878753438,0.0
Subanen/Subanon,159,0.6107319832390082,0.2321110020288037,0.0697753383359757,0.04126945809207833,0.04611221830413394
Blaan,125,0.5992420072375879,0.22910407440887484,0.1613316257012807,0.006534915306751381,0.003787377345505064
Maguindanao,506,0.5991066550584907,0.21157959163967682,0.08093428435810769,0.07247164384316075,0.03590782510056405
Manobo,124,0.5290932489056557,0.2680418371284773,0.058411109201916056,0.06299349206341076,0.08146031270054016
Tausog,430,0.5227826997573034,0.18263892733477421,0.13824919234363464,0.10340482151205255,0.0529243590522353
Maranao,445,0.4783450161566477,0.2185063751167196,0.13373333223531897,0.1264374042345822,0.04297787225673142
Mandaya,114,0.2722450189658581,0.3123238604782292,0.25739663994687195,0.09897883743748231,0.05905564317155843
Tuwali,39,0.24448490941086323,0.2084328586249213,0.19432772510478277,0.2801605148788657,0.07259399198056704
Cebuano,6023,0.20787214203853288,0.23625063045361322,0.2073887916605504,0.1697598791366265,0.17872855671067697
Hiligaynon/Ilonggo,2345,0.2014820553830397,0.25972923884513666,0.1880711236845822,0.16856821681938128,0.18214936526786013
Surigaonon,188,0.19203414981085293,0.22548266910754833,0.20907887249019305,0.22140193617217882,0.1520023724192269
Akeanon,140,0.1917618628381418,0.18075781623111042,0.2518123301694687,0.21070932205795903,0.1649586687033199
Waray,1006,0.1872284833488444,0.22279930587568042,0.212848068186819,0.1997441081726028,0.1773800344160534
Zambageño - Chavacano,119,0.18471351241702824,0.1284126183337082,0.08920068035320423,0.3151686242322799,0.28250456466377943
Boholano,386,0.17584362151933486,0.24580338029549254,0.2087123320699681,0.22418817392743007,0.14545249218777453
Bantoanon,51,0.17339374576122005,0.33882083015332104,0.2655899820458809,0.10694941610987584,0.11524602592970219
Ifugao,72,0.17040580676276382,0.2606498467293987,0.1299916426576745,0.3347803281667214,0.10417237568344163
Bikolano,1860,0.169391138709605,0.22239544253986093,0.2261387190291314,0.1979155312691292,0.1841591684522734
Kalinga,33,0.15156359104379669,0.38458502779286835,0.18369421892272522,0.14338304754934283,0.13677411469126685
Ivatan,4,0.13005456058691164,0.0883971781740038,0.16445723445199417,0.3851239833191684,0.231967043467922
Ilokano,2074,0.08119974599547074,0.21210206878672283,0.2166371536923373,0.22812755103701904,0.2619334804884501
Pangasinan/ Paggalato,689,0.0804931416674916,0.10622853062388347,0.2811394848289119,0.3049120209619846,0.22722682191772847
Kankanaey,113,0.04526717301701752,0.11654515157525248,0.30830410324904634,0.31970400297942414,0.21017956917925956
Tagalog,8338,0.03385349277598657,0.11923362973886835,0.21957321614835396,0.3036311198749317,0.32370854146185957
Kapampangan,926,0.008694642571086651,0.07198865688447885,0.20800175810065838,0.26475411077830346,0.4465608316654727
