ethnicity,n,poorest,poorer,middle,richer,richest
Sherbro,283,0.3225191822491052,0.1763539663775525,0.09163434709069664,0.16412252654584317,0.24536997773680244
Mende,4863,0.23251581579521954,0.19973515295501057,0.20370732912330045,0.18612694848643588,0.17791475364003367
Korankoh,658,0.18137120923560615,0.30340982175205705,0.3129403205126276,0.1214176219725636,0.08086102652714564
Temne,5487,0.16388511863603789,0.18198250907273347,0.18545880452455943,0.23869390377713695,0.22997966398953232
Limba,1360,0.15474244747138077,0.15320675931553768,0.1544171301642541,0.21228264810670297,0.3253510149421245
Kono,679,0.12455545249656218,0.19088442624208274,0.2396412255644704,0.2784229775049526,0.16649591819193202
Loko,313,0.11117283678112132,0.11015223503602645,0.13228943562709133,0.23056612494449116,0.41581936761126986
Mandingo,428,0.0777558720611431,0.08007402572654274,0.12925055413880607,0.27108497052060315,0.4418345775529049
Fullah,575,0.03700228467325448,0.07330510551739854,0.1112527844466146,0.29943493239384295,0.4790048929688895
Creole,139,0.0,0.0,0.04083253417211181,0.1560951106175073,0.8030723552103809
