ethnicity,n,poorest,poorer,middle,richer,richest
Jie,79,1.0,0.0,0.0,0.0,0.0
Dodoth,54,0.99398646120863,0.0,0.006013538791369981,0.0,0.0
Karimojong,130,0.7881700139038547,0.11536632138981918,0.03729002676490298,0.04445624102888571,0.01471739691253746
Acholi,906,0.5527956696674398,0.17571240737433522,0.08074493814677784,0.07006336355194721,0.1206836212595
Kumam,141,0.42695364386016577,0.32582691762958643,0.14931156028560882,0.037695172535596705,0.06021270568904205
Aringa,200,0.41357979763929215,0.22012001594519434,0.11091608573362771,0.1499901620754731,0.10539393860641266
Alur,517,0.4090248731772455,0.27618165212438284,0.11143933198525556,0.1014138518956649,0.10194029081745105
Madi,196,0.38372508946324535,0.2035155054109309,0.1839556657525037,0.1215776908135659,0.10722604855975415
Lango,1051,0.37130729581240224,0.2885319543750173,0.1349585357461677,0.12141110169582224,0.08379111237059032
Lugbara,549,0.3686669697963296,0.2356609329808066,0.12345181313594933,0.12941932011492077,0.14280096397199377
Sabiny,126,0.32941001808271214,0.29130860061547753,0.15487026911483087,0.14330493178141984,0.08110618040555959
Iteso,1387,0.32386411039797847,0.24719705626488525,0.1434287087980431,0.13924709033874155,0.14626303420035155
Bagwere,298,0.2167425576922424,0.29153672255315277,0.22006585178846272,0.13388959709584244,0.13776527087029966
Banyole,280,0.18672455188870032,0.2339192018080184,0.19317960577011994,0.21427225919890644,0.17190438133425504
Jopadhola,354,0.173801438490699,0.2582837612705959,0.21965432062924495,0.19969307046349152,0.14856740914596875
Basamia,236,0.12482696861480676,0.19235060679810725,0.21561864539022801,0.22213785660210258,0.24506592259475543
Bagisu,940,0.10596045146959862,0.23843978273989386,0.26150935627556077,0.20078941369793085,0.19330099581701599
Basoga,1408,0.08157004276016011,0.1620172898813405,0.23041237828681604,0.26878046838572134,0.2572198206859619
Banyarwanda,426,0.07777811804177855,0.14630237310241345,0.15839288194160916,0.25890618255289644,0.35862044436130236
Bakiga,1263,0.07240006880417209,0.25745769008253305,0.2982638410002828,0.24447648476305422,0.12740191534995773
Banyoro,565,0.0445308360799017,0.16135386958514933,0.2535812967152417,0.2185342486935258,0.3219997489261815
Banyankore,2002,0.04416545173909141,0.1494843699035705,0.24170870401160224,0.2715192109014513,0.2931222634442845
Batoro,539,0.04331981381317306,0.16796443783151266,0.28394566302664176,0.21836109408626223,0.2864089912424103
Bafumbira,302,0.04126641251081344,0.2787685452712652,0.3355515605583134,0.2350805305109575,0.1093329511486503
Bakonzo,459,0.015061186814745926,0.18486951895467935,0.2943795353435057,0.26800613715915195,0.23768362172791713
Baganda,3103,0.013869903234853214,0.05398473581841271,0.1255140762570315,0.2256689931673192,0.5809622915223833
