ethnicity,n,poorest,poorer,middle,richer,richest
Fulfulde/ Peulh,1142,0.5385578394900369,0.17753624504672724,0.11071291796175736,0.08209665794630483,0.09109633955517375
Gourmantche,950,0.4587572115652809,0.22911760846477322,0.13173735951266297,0.07964241798947945,0.10074540246780343
Dagara,259,0.28083318793979706,0.16957800132861908,0.12918464158137702,0.06531485445549153,0.35508931469471544
Lobi,266,0.26358146892263673,0.19478293831309604,0.22511502872784922,0.140410257858945,0.17611030617747284
Bobo,587,0.23543904107073543,0.1074642605303894,0.18266659715725897,0.1596791323864681,0.31475096885514803
Gourounsi,1019,0.15812351580582784,0.24689652723935396,0.24071874351320027,0.1910281090577185,0.16323310438389935
Mossi,9668,0.12305719203171829,0.18959732517246164,0.19076910952007342,0.21846111735864343,0.27811525591710323
Bissa,979,0.0526605499031621,0.15918023590625516,0.24159694848009633,0.36748356753723377,0.1790786981732527
Senoufo,367,0.0386091504836566,0.15188963095484903,0.2868666842443027,0.2866532279260254,0.23598130639116616
Dioula,119,0.034113211143504164,0.04034534822711199,0.12190007772429468,0.164234931642837,0.6394064312622522
