ethnicity,n,poorest,poorer,middle,richer,richest
Dadjo/Mouro,472,0.45390542528339056,0.18968259296090745,0.14490890671687226,0.07258215372022755,0.13892092131860206
Tama/Assongori,444,0.4312294701374594,0.2805414085556955,0.17837046800150846,0.08219778130783834,0.027660871997498445
Mesmedje/Massalat,110,0.38616277271110827,0.24522066188882366,0.15211296101964075,0.0952940096727795,0.12120959470764772
Ouaddai/Mimi,1462,0.3620473985085856,0.2250210741554626,0.13714095513678917,0.06819890534704522,0.2075916668521173
Bidio/Kenga/Dangleat,946,0.2798306210908102,0.18972290325555663,0.1815607360087384,0.13238487609771918,0.21650086354717568
Boulala/Medego,707,0.24143228597858893,0.19388649133799168,0.17570198158048644,0.12618085211981372,0.26279838898311925
Kanembou/Bornou,2004,0.2382697913333039,0.2733618108211809,0.18113860248917588,0.13096740928230657,0.17626238607403277
Arab,3040,0.236831998319614,0.21632972307990142,0.17512724458845386,0.12032418113389572,0.251386852878135
Zaghawa,521,0.21896671290940148,0.25921317519419207,0.21560963285947882,0.13094216150255972,0.17526831753436783
Gorane,1234,0.18468688186103874,0.2592092865612193,0.208131555817386,0.09073689536805175,0.25723538039230426
Sara,6613,0.1403557786132121,0.16245143716446053,0.2252231936730891,0.2738535524760038,0.1981160380732345
Baguirmi/Barma,227,0.12739216136762288,0.12334092024194228,0.11984147465838893,0.21298709278437442,0.41643835094767145
Massa/Mousseye,1344,0.10262010025827877,0.1729636700841274,0.2624554775976082,0.29740433015060463,0.16455642190938086
Fulani,273,0.09137643710942114,0.11644356882869308,0.25598938269541205,0.20310900062939843,0.33308161073707526
Karo/Zime,182,0.08166770413750538,0.09708833571615884,0.23650526945804937,0.3426979476163422,0.24204074307194431
Toupouri/Kera,283,0.07059909044164517,0.139107474110408,0.26118265365711585,0.321255985181182,0.2078547966096491
Marba/Lele,786,0.06826830808928289,0.19481524332688607,0.2284811448995647,0.3050563495043082,0.20337895417995805
Gabri/Nangtchere,455,0.06270691955349601,0.14548290841588962,0.19177050214247018,0.3106240271052202,0.28941564278292387
Moundang,878,0.0456779502249163,0.0628443816289661,0.13430641454387465,0.3994925489546751,0.3576787046475678
